Keys,Definitions,English
DỎLAM," L'intérieur, chambre, comparti- ment.  Gah ring ji kèm, gah — jt lòng, il est vilain à l'extérieur, mais il est beau à l’intérieur.  Hnam ","Interior, chamber, compartment. Gah ring ji kèm, gah — jt lòng, he is ugly on the outside, but he is beautiful on the inside. Hnam"
DOMÔNG," Eétiches consistant en petites pier- res de forme bizarre, et parfois en bois ou en ivoire.  Zờyïng —, la colonne des fétiches.  (C’est la prin- cipale colonne de la maison commune, sur laquelle on conserve les fétiches.  )","Aetiches consisting of small oddly shaped stones, and sometimes wood or ivory. Zờyïng —, the column of fetishes. (This is the main column of the common house, on which the fetishes are kept.)"
DONÂM," Couvert, sombre.  Nar —, ciel cou- vert, jour sombre et sans soleil.  Hul —, rancune cachée, dissimulée.  Xoat —, le malaise qui suit un excès dans le boire, quand l'ivresse est passée. ","Overcast, dark. Nar —, overcast sky, dark and sunless day. Hul —, hidden, concealed grudge. Xoat —, the discomfort which follows an excess in drinking, when the intoxication has passed."
DONAN," Blanc, but, butte qu’on vise en ti- rant un coup d’arbalète, de fusil. ","White, goal, mound that is aimed by firing a crossbow or rifle."
DONÂU," Étang, lac. ","Pond, lake."
DÔNEN, Enclume. ,Anvil.
DONG," Répondre de, se faire caution.  Bš hò b6k xdre, bốk — gó chil, à défaut du débiteur, le répondant doit payer. ","To answer for, to be surety. Bš hò b6k xdre, bốk — gó chil, in default of the debtor, the respondent must pay."
DONG," Rester debout, s'arrêter.  — j⁄k hè bok kiâ ? pourquoi s’arrête-t-on? — hdiung hdtung, s”ar- rêter droit, debout. ","Stay standing, stop. — j⁄k hè bok kiâ? why do we stop? — hdiung hdtung, stop straight, stand up."
DONG," De, dès, depuis.  — jù ¿? — mir, ‘' où viens-tu? Du champ. ","From, from, since. — ju ¿? — mir, “where are you from? From the field."
DÔNG," Peu profond (l'opposé de Fürk).  Dak —, eau peu profonde, guéable.  Pèma joru đồng, parler tantôt obscurément et tantôt ouvertement. ","Shallow (the opposite of Fürk). Dak —, shallow water, fordable. Pèma joru đồng, to speak sometimes obscurely and sometimes openly."
"DỎNGIR, TONGIR"," En présence, en face, devant.  Inh tobin — Bà Tang, je vous le promets en la présence de Dieu.  — pôma pha, tống pèma Pha, parler différemment, suivant qu’on est en face, ou loin des regards, ","In the presence, in front, in front. Inh tobin — Bà Tang, I promise you in the presence of God. — pôma pha, tống pèma Pha, speak differently, depending on whether you are in front or out of sight,"
DONHUM," Cordons pour fixer le chignon.  — xôk, assujettir le chignon. ","Cords to fix the bun. — xôk, secure the bun."
DONHUM, Long —.  Bois de fer. ,Long -. Iron wood.
DONIL," Qui fait la sourde oreille, faire la sourde oreille.  Inh bôtho xò rim nar chống xò —, ji dang uh, tous les jours je lui fais la léçon, mais il n’écoute rien; c’est comme si je ne disais rien. ","Who turns a deaf ear, turns a deaf ear. Inh bôtho xò rim nar chống xò —, ji dang uh, every day I lecture him, but he doesn't listen; it's as if I said nothing."
DOÔNING," Demain.  — dèmonh, dans quelques jours. ","Tomorrow. — dèmonh, in a few days."
"DỎNÕL, TỎNỐL", Colonnettes sous la maison pour soutenir le plancher.  Pieux pour supporter quelque construction.  ,Posts under the house to support the floor. Piles to support some construction.
"DONONG, TONONG"," Long horizontalement (l'opposé de /ðk).  Kia ji —, ruih 7š pôk, le tigre a l’échine longue, l’éléphant l’a courte. ","Long horizontally (the opposite of /ðk). Kia ji —, ruih 7š pôk, the tiger has a long spine, the elephant has a short one."
DONONG," Vivace, qui résiste longtemps à la mort.  Meo — dunh hò loet, le chat est vivace, il est long à mourir. ","Perennial, which resists death for a long time. Meo — danh hò lo et, the cat is alive, it takes a long time to die."
"DỎNOR, TONOR"," La longueur d’une mai- son, ou d’une chose plus longue que large.  — hnam ênh ji ming jit plaih, ma maison est longue de dix brasses.  Mir inh dây pom — dik, mon champ n’a de l'étendue qu’en longueur. ","The length of a house, or of something longer than it is wide. — hnam ênh ji ming jit plaih, my house is ten fathoms long. Mir inh dây pom — dik, my field is expansive only in length."
DÓNỞNG," La hauteur.  — pônèt, la hauteur de la cloison.  | La chaîne dans un tissu.  (Tènank, la trame. ) (Dans toute tresse de hottes, de nattes, de stores, les brins verticaux sont appelés dônèng; et les brins servant đe trame fônanh ). ","The height. — pônèt, the height of the partition. | The warp in a fabric. (Tènank, the weft.) (In any braid of hoods, mats, blinds, the vertical strands are called dônèng; and the strands serving as the weft fônanh)."
DỒNUH," Pauvre, indigent.  — in, pauvre, misérable. ","Poor, destitute. — in, poor, miserable."
DONUH-DIA," Se raconter des histoires, des contes pour passer le temps, conversation familière.  ","Telling each other stories, tales to pass the time, familiar conversation."
DONUNG, — dak num.  La vessie. ,— dak num. The bladder.
DOP, Couvrir. ,Cover.
DORANG," Emporté dans les airs par le vent (feuilles, pailles, etc.  ). ","Carried into the air by the wind (leaves, straw, etc.)."
"DORANG, DORÔNG"," Flamméches.  — bar peng to gòh jing unh kreng deng, quelques étincelles peuvent produire un incendie terrible. ","Flames. — bar peng to gòh jing unh kreng deng, a few sparks can produce a terrible fire."
DỎREH," Écarter, éloigner, s’écarter.  Ï nu — inh dòng ngữ th, ne me rejetez pas de votre pré- sence.  Ë — bé, éloignez-vous un peu. ","To deviate, to move away, to move away. Ï nu — sinh dòng ngữ tu, do not reject me from your presence. Ë — bé, step away a bit."
DOÔREY, Arbustes qui croissent dans les cours d’eau peu profonde. ,Shrubs that grow in shallow waterways.
DOREY," Tremblotter naturellement, ou par vieillesse.  Ti — anat kè chủ hla bar, une main tremblante écrit difficilement. ","Tremble naturally, or by old age. Ti — anat kè chủ hla bar, a trembling hand writes with difficulty."
DOT," Arrêter, empêcher de passer, ou de s’en aller.  — trong, barrer le chemin.  || — bôr de, cou- per la parole à quelqu'un. ","To stop, prevent passing, or leaving. — trong, block the way. || — bôr de, to cut someone off."
"DOXALAM, XALAM"," Intervalle, dans l’inter- valle, un entre-deux.  — plenh tek, l'intervalle de la terre au ciel.  Ming — nar Bă lãng, une semaine, l'intervalle d’un dimanche à l’autre. ","Interval, in the interval, an in-between. — plenh tek, the interval from earth to heaven. Ming — nar Bă lãng, a week, the interval from one Sunday to the next."
DOXIENG, Corde de l'arc. ,Bowstring.
DRA," Sécher au feu, au soleil, exposer au feu, mettre au soleil. ","Dry in the fire, in the sun, expose to the fire, put in the sun."
DRAKĂN," La femme.  Dranglô —, l'homme et la femme (en général; dé non comme klo akän, mari et femme).  ","Wife. Dranglô —, the man and the woman (in general; dé non like klo akän, husband and wife)."
DRAM, Unité numérique de la plus petite va- leur .  | Jarres.   ,Numerical unit of the smallest value. | Jars.
"DRANGLO, DRÔNGLO", L'homme [ V.  KỎ- DRANG]. ,The man [V. KỎ-DRANG].
DRANH," Couverture en bambou tressé, que l'on pose sur quelques toits de maisons et de tom- beaux. ","Braided bamboo blanket, which is placed on some roofs of houses and tombs."
DRENG," Perles, grains de verroterie pour col- liers.  — iap, — Bă lang.  Chapelet, rosaire.  Iap —, réciter, dire son chapelet.  7ð —, enfiler des perles. ","Beads, beads for necklaces. — iap, — Bă lang. Rosary, rosary. Iap —, to recite, to say one's rosary. 7ð —, string beads."
"DRÔK, KIT-DRỐK"," Crapaud.  — bxi, le cra- paud croasse. ","Toad. — bxi, the toad croaks."
DRÔL," Convexe, bombé; terrain en dos đâ- ne (c’est l'opposé de klung). ","Convex, domed; back ground đâ- ne (it is the opposite of klung)."
DROM," Rester dans la coque comme la chry- salide.  || Être casanier, ne pas sortir de chez soi, E — kiki to trom hnam? pourquoi restez-vous toujours enfermé dans votre maison ?","Stay in the shell like the chrysalis. || Being a homebody, not leaving home, E — kiki to trom hnam? why are you always locked in your house?"
DRÔNG," Passer par un endroit sans s'y arrê- ter.  Xò cha — dik uh Rd di mut tò cham, il n’a fait que passer, sans entrer dans l’intérieur du village. ","To pass by a place without stopping there. Xò cha — dik uh Rd di mut tò cham, he only passed through, without entering the interior of the village."
DRONG," L'ensemble des barres de bois ou des lattes de bambous, qui sou- tiennent le plancher appelé drèk. ","The set of wooden bars or bamboo slats, which support the floor called drèk."
DROU," Aujourd’hui.  (On dit aussi Nar 6, ống ô. )","Today. (We also say Nar 6, ống ô. )"
DRỞH," Le plancher des maisons, fait ordinai- rement en bambous tressés ou aplatis. ",The floors of houses are usually made of woven or flattened bamboo.
DRONG," Répondre, promettre.  De pôdrèng ở uh hò — kikiä? on vous interroge, pourquoi ne ré- pondez-vous pas? Inh uhkd — hò an, je ne promets pas de donner.  | Etre de force, être capable de.  Ming nu inh, tnh uh kè — kè buòi lò, seul je ne suis pas capable de tenir tête contre ce grand nombre. ","Answer, promise. From pôdrèng ở uh hò — kikiä? you are being questioned, why do you not answer? Inh uhkd — hò an, I don't promise to give. | To be strong, to be able to. Ming nu inh, tnh uh kè — kè buòi lò, alone I am not able to hold my own against this great number."
DRUEI," Ennuyé, triste, dégôuté, découragé.  ","Bored, sad, disgusted, discouraged."
DRUH," Faire peur, effrayer et mettre en fuite, donner la chasse.  ïz xa ba e uh kè — kikiâ? les poules mangent ton riz, pourquoi ne les chasses- tu pas? — de, donner la chasse aux ennemis, pour tâcher d'en capturer quelqu'un.  || Dak — xämät, l’eau bénite (l’eau qui chasse le diable). ","To frighten, frighten and put to flight, to give chase. ïz xa ba e uh kè — kikiâ? the chickens eat your rice, why don't you chase them away? — to give chase to enemies, to try to capture someone. || Dak — xämät, holy water (water that chases away the devil)."
DRUN," Fourré: tout endroit plein de choses laissées en désordre.  — jola, fourré de ronces.  Trong —.  Chemin couvert d’herbes et de brous- sailles.  Hnam —, maison où tout est sens dessus","Thicket: any place full of things left in disorder. — jola, thicket of brambles. Trong —. Path covered with grass and brush. Hnam —, house where everything is upside down"
DRUT," Pousser, faire avancer.  — mi dim truh tonok, poussez encore, cela n'arrive pas au point voulu. ","To push, to advance. — mi dim truth to nok, push again, it doesn't get to the desired point."
DU," Également, aussi, et.  Ink — 0a, je le veux aussi.  Mà e athaï inh — uhkd lui, vous me le com- manderiez, que néanmoins je ne le ferais pas. ","Also, also, and. Ink — 0a, I want it too. Mà e athaï inh — uhkd him, you would order it from me, that nevertheless I would not do it."
DU," Mon fils, mon enfant (tou- jours au vocatif et au masculin). ","My son, my child (always in the vocative and masculine form)."
DÜ," Transporter des effets d’un lieu à un au- tre (comme dans un déménagement, ou quand on doit faire plusieurs tours). ","Transporting belongings from one place to another (such as when moving, or when you have to make several trips)."
DU," S’évader, prendre la fuite. ","To escape, to flee."
DUCH," Tante plus jeune que le père, cousine du père moins âgée que lui, belle-sœur plus jeune que le frère de son mari. ","Aunt younger than father, father's cousin younger than him, sister-in-law younger than her husband's brother."
DUË," — le hè.  On dirait que, comme si, ila l'air de.  — le kd hul, on dirait qu’il est fâché.  Ba tojèrâm — tèchèt, nous nous rencontrons comme si nous nous étions donné rendez-vous. ","— the hey. It looks like, like, it looks like. — the kd hul, it looks like he’s angry. Ba tojèrâm — tèchèt, we meet as if we had arranged to meet."
DUH," Dak—.  Pus, le pus qui se forme.  Lech —, il sort du pus.  Pôteng klaih —, le furoncle est ","Dak—. Pus, the pus that forms. Lech —, pus comes out. Pôteng klaih —, the boil is"
le pus est formé," Feh —, percer un furoncle, pour en faire sortir le pus. ","Feh—, to pierce a boil, to squeeze out the pus."
DUH," Sortir (dans le sens actif), livrer des marchandises. ","To go out (in the active sense), to deliver goods."
DUI," Conduire par la corde, tirer.  — kapô, amener un buffle.  — jèréng, traîner une colonne.  | — brai, filer du coton.  | — johngâm, respirer (tirer sa respiration ).  — ở, avoir une respiration très pénible (en parlant d’un mourant). ","Lead by the rope, pull. — kapô, bring a buffalo. — jèréng, dragging a column. | — pitch, spinning cotton. | — johngâm, breathe (draw your breath). — ở, having very difficult breathing (speaking of a dying person)."
DUIH," Hla—, résidus, feuilles sèches et or- dures qu’on jette d’une maison après le balayage, les balayures. ","Hla—, residues, dry leaves and rubbish that are thrown out of a house after sweeping, sweepings."
DUING-DUING," En tournant, en spirale.  Dar — —, aller en cercle plusieurs fois. ","By turning, in a spiral. Dar — —, go in a circle several times."
DUK," Plung —.  Navire, vaisseau.  (Les Bahnars ne cohnaissent les vaisseaux que par un nom venu d’ailleurs.  )","Plug—. Ship, ship. (Bahnar only know ships by name from elsewhere.)"
DUM," Môr, être mûr.  Ba ji — le riz est mûr. ","Môr, to be mature. Ba ji — the rice is ripe."
DUM," Rouge.  40 —, ao — xut, habit rouge.  Muh mat —, visage rouge.  — gòhẽ, très rouge, vi- sage en feu. ","Red. 40 —, ao — xut, red coat. Muh mat —, red face. — gòhẽ, very red, face on fire."
DUN, Dak —.  Cours d’eau débordé et refluant vers sa source (dans une inondation). ,Daka—. Watercourse overflowing and flowing back towards its source (in a flood).
DUNH," Longtemps, ancien, vieux.  — đang, très longtemps.  — —, à la longue.  Erik —, vivre longtemps.  Trong — l'ancienne route.  Bôngai —, un vieillard.  || Être long à, tarder.  — kikid? que tardez vous ?","Long, old, old. — đang, very long. - -, in the long run. Erik —, live long. Trong — the old road. Bôngai —, an old man. || To be slow, to be late. — kikid? what are you waiting for?"
DŨNG-DĂNG," Vil, de nul prix, bagatelles.  Tèômam — —, objets de vil ptix.  Pôma — —, dire des bagatelles.  Bôngai — —, un homme de rien. ","City, of no price, trifles. Tèômam — —, objects of low price. Pôma — —, to say trifles. Bôngai — —, a man of nothing."
DUNG," Qui fait une courbe.  Trong —, chemin en courbe, qui fait un détour.  ","Which makes a curve. Trong —, curved path, which makes a detour."
DUỞL," La largeur.   — hnam, la largeur de la maison. ","The width. — hnam, the width of the house."
DUON, Chapeau. ,Hat.
DUOT," Extraire, tirer dehors.  — đáo, dégaîner, — jôla, retirer une épine. ","Extract, pull out. — đáo, unsheath, — jolla, remove a thorn."
BUR," Ton bas des tam-tam, des gongs. ","Tone of tom-toms, gongs."
DUR," Palissade autour da village.  ,","Palisade around the village. ,"
DUT," Ficher, enfoncer, faire en- frer en poussant. ","File, push, do brother by pushing."
DÙ," Imbécile, sans savoir-vivre.  Xa —, manger seul sans partager avec les autres. ","Imbecile, without knowing how to live. Xa —, eat alone without sharing with others."
DÜK," Soulever, lever. ","Lift, lift."
"E, Tu, toi, tien"," — hôm bôh mé —? as-tu vu ta mère? Manat kò —, je te salue, bonjour.  . ","— hôm bôh have you seen me your mother? Manat kò —, I greet you, hello. ."
"É, EI, ÂY"," Celui-là, cela, là.  Bôt—,en cet endroit-là ","This one, that, there. Bôt—, in that place"
EH," Enfé, s'enfler.  Yong xd — Rékiä ? pour- quoi sơn pied est-il enflé?","Hell, swell. Yong xd — Rékiä? why is his foot swollen?"
EIEH," Se piquer d’émulation, d'honneur, de rivalité, de jalousie. ","Taking pride in emulation, honor, rivalry, jealousy."
ÉK," Basilic, plante odoriférante qu’on emploie comme condiment. ","Basil, a fragrant plant used as a condiment."
ENG," Tenir tellement à une chose, qu’on ne voudrait pas s’en défaire.  ",Holding on to something so much that you wouldn't want to get rid of it.
EN-ON, S'étirer (comme quand on est sur le point d'avoir la fièvre). ,Stretch (like when you're about to have a fever).
ERE MAH," Chercher des paillettes, ou de la ","Looking for glitter, or"
"ERECH, EREK"," Petits oiseaux qui font beaucoup de dégâts dans les rizières, quand les riz mürissent. ",Small birds that cause a lot of damage in rice fields when the rice ripens.
EREY, Semer en laissant simplement tomber la semence sur la terre préparée. ,Sow by simply dropping the seed onto the prepared soil.
EREN," Compter, faire l'énumération; tenir compte, faire attention à; s’offenser de, se forma- liser.  — näng hâm tôm, comptez, pour voir s’il y a le nombre complet.  Nš joh né —, pardonnez-moi (ne faites pas cas de cela, ne m'en veuillez pas). ","Count, enumerate; take into account, pay attention to; to take offense at, to take offense. — näng hâm tôm, count, to see if there is the complete number. Nš joh ne —, forgive me (don't care about that, don't be mad at me)."
EREN," Ronger.  Kð — kbting, le chien ronge.  les os. ","Gnawing. Kð — kbting, the dog gnaws. bones."
"ERENG, ORENG", Grande hotte pour garder à part le riz destiné à servir de semence. ,Large hood to keep aside the rice intended to be used as seed.
ERIH," Vivre, être en vie.  || Avoir abondam- ment le riz nécessaire pour toute l’année.  Kèmlung oây —, pendant la vie.  Xänäm —, année d’abon- dance.  Xa mä —, n# kòđò, mangez selon votre ap- pétit et sans rougir (invitation à manger qu'on fait à ses hôtes pendant qu’ils mangent). ","Live, be alive. || Have plenty of rice needed for the whole year. Kèmlung oây —, during life. Xänäm —, year of abundance. Xa mä —, n# kòđò, eat according to your appetite and without blushing (invitation to eat that one makes to one's guests while they are eating)."
"ERIU, ORIU"," Se réveiller, être éveillé.  Ti inh hò — š podriu, si je ne me réveille pas, réveil- lez-moi. ","To wake up, to be awake. Ti inh hò — š podriu, if I don't wake up, wake me up."
ET," Boire.  — xik, boire du vin.  Nar —, jour de fête et de réjouissances.  — hắt, famer (les Bah- nars disent boire du tabac).  `","Drink. — xik, drink wine. Nar —, day of celebration and rejoicing. — hắt, famer (the Bahnars say they drink tobacco). `"
"EXAI, ỞXAI"," Hamecon, pêcher à la ligne.  Gr —, le manche auquel est attachée la ligne. ","Fishhook, angling. Gr —, the handle to which the line is attached."
"EXI, OXI"," Chant, chanter, cri, crier (soit des oiseaux, soit de tous les animaux dont le cri n’a pas de nom particulier.  ) ","Song, sing, cry, cry (either of birds, or of all animals whose cry has no particular name. )"
EXI," Tomber, se verser un à un, goutte à goutte (en parlant des liquides, des grains, ou des choses menues).  Donk ba — #iâ trong, ramasser le riz qui est tombé à terre le long du chemin. ","To fall, to pour one by one, drop by drop (speaking of liquids, grains, or small things). Donk ba — #iâ trong, pick up the rice that has fallen to the ground along the path."
GA," Aimer à, prendre goût ou plaisir à, aimer une chose, la trouver de bon goût.  [ V.  MET, KO- MET beaucoup plus usités.  ]","To like, to take taste or pleasure in, to love a thing, to find it in good taste. [V. MET, KO- MET much more used. ]"
GACH," Dartre, teigne, espèce de gale qui dévore les buffles quand ils sont encore petits. ","Scab, ringworm, species of mange that devours buffaloes when they are still young."
GAH," Côté, parti, quant à, pour ce qui est de, touchant, avec, de.  — ô, — 15, de ce côté-ci, de ce côté là-bas.  — ma, — ngieo, à droite, à gauche.  — inh, inh ji lòb, pour ce qui me regarde, je le permets.  — tèdrong ẽ poma hây, quant à ce que vols disiez.  Ruôt kapô — jd, acheter un buffle avec une jarre.  Bôtho de — tèdrong Ba lãng, donner des leçons de catéchisme. ","Aside, gone, as to, as to, touching, with, of. — oh, — 15, this side, that side over there. — ma, — ngieo, right, left. — inh, inh ji lòb, as far as I am concerned, I allow it. — tèdrong ẽ poma hây, as to what flights were saying. Ruôt kapô — jd, buy a buffalo with a jar. Bôtho de — tèdrong Ba lãng, give catechism lessons."
GAHÂK," Crachat.  Dak —, même sens.  GAI.  «","Sputum. Dak—, same meaning. CHEERFUL. """
GAI," Pencher, incliner, penché, incliné.  — xtk, offrir à boire (parce qu’on présente le tube à vin en le penchant vers la personne invitée. ) Nar —, vers les deux ou trois heures de l'après-midi (le soleil incliné).  — trong, indiquer le chemin (par des herbes pu des arbustes, qu’on incline à dessein de loin en loin). ","Lean, lean, lean, lean. — xtk, to offer a drink (because the wine tube is presented by leaning it towards the person invited.) Nar —, around two or three o'clock in the afternoon (the sun tilted). — trong, indicate the path (by herbs or shrubs, which are deliberately inclined from here to there)."
GÂY," Solide, durable.  Hnam hòm, chứng —, maison vilaine, mais solide.  ","Strong, durable. Hnam hòm, chứng —, ugly but solid house."
GAIH," D'un âge mûr.  De — pôley, les princi- peux personnages d'une localité, De kre —, les &ens mariés, pères et mères de famille. ","Of mature age. De —poley, the main characters of a locality, De kre —, the married people, fathers and mothers of families."
GAIH," Cha —.  Faire ses besoins, aller à la selle.  (Expression polie, au lieu de Cha sk, expres- sion grossière.  ) . ","Cha—. Defecate, defecate. (Polite expression, instead of Cha sk, rude expression.)."
GÂL," Convenable, proportionné, assez, passa- ble.  7ï — đang n6, c'est assez comme cela, c'est au point, c’est dans la mesure convenable.  — kè, pro- portionné à.  ","Suitable, proportionate, enough, passable. 7ï — đang n6, it’s enough like that, it’s to the point, it’s to the right extent. — kè, proportionate to."
GAM," Bleu, noir.  — plenh, bleu de ciel.  — khës, bleu foncé.  — ngur, bleu violet.  — bräng, noir. ","Dark blue. — plenh, sky blue. — khës, dark blue. — ngur, purple blue. — bräng, black."
GẮN," Traverser, passer de l’autre côté.  E — krơng hajo? en quel endroit avez-vous traversé la rivière? || Traverser, mettre obstacle, empêcher.  Tôdrong —, empêchement.  ","Cross, passed to the other side. E — krơng hijo? where did you cross the river? || To cross, to obstruct, to impede. Todrong —, impediment."
GẦN," Guères.  Uh kò — 0a, ne vouloir guères.  Uh kò — anät, ce n’est pas bien difficile.  | ""Uk & —1 répugnance absolue. ","Hardly. Uh kò — 0a, to want little. Uh kò — anät, it is not very difficult. | ""Uk & —1 absolute repugnance."
GẮNG," Raide; morfondu.  — #ò tngiat, glacé de froid; morfondu.  Akâu xd ji — boih, ses miem‹ bres sont déjà tout à fait raides. ","Steep; moping. — #ò tngiat, frozen with cold; moping. Akâu xd ji — boih, his limbs are already quite stiff."
"GÂNG, GONG"," Le piquet arnementé auquel on attache le buffle qu'on mange avec cérémonie, un jour de fête.  Nay pôtam —, le jour fixé pour planter ce piquet en terre. ","The ornamented stake to which we attach the buffalo which we eat with ceremony, on a feast day. Nay pôtam —, the day appointed to plant this stake in the ground."
GAO, Espèce de millet qui sert à fabriquer un -vin semblable au vin de riz. ,A species of millet that is used to make a wine similar to rice wine.
"GÂP, GAU"," Autrui, étranger.  Deh —, pays é tranger.  Tôtông tomam —, dérober le bien d’autrui. ","Other, stranger. Deh —, foreign country. Tôtông tomam —, to steal the property of others."
GẶP," [F.  LẶP, Convenable, assez, suffisant.  Nề alam jt — đang số, n'ajoutez rien, il y en a suf- fisamment.  ","[F. LẶP, Suitable, enough, sufficient. Nề alam jt — đang số, don't add anything, there is enough."
GAP," Sérref et assujettir entre deux lattés de bambou, de bois, ou par du rotin, le bord d’urie hot: te, sérrér ainsi entre bandes un objet quelconque. ","Tighten and secure between two slats of bamboo, wood, or rattan, the edge of any hot: te, thus tighten between strips any object."
"GR, GER"," Il, lui.  — #h ko 88; 1 ne Véüt Bäs (rarement émployé). ",He him. — #h ko 88; 1 ne Véüt Bäs (rarely used).
ÉAR," alousèr, être jaloux, ne vouloir pas cé- der une chose, la revendiquer avec force.  Bre wnÏ om == dibal, tes époux sont jaloux.  10h — db mỹ; le Bétit ehfánt he doufre pas qu'on lui dispute sả ffiète. ","to be happy, to be jealous, not to want to give up something, to claim it forcefully. Bre wnÏ om == dibal, your spouses are jealous. 10 a.m. — db mỹ; the Bétit ehfánt he does not suffer being disputed over his sả ffiète."
"avoir la force de, être capäbl avoir l'habileté, le savoir-faire"," nécessairé pour: Ë im — hồ pu? avez-vous la force de porter ceci? E hâm — hồ ubr plung ? savez-vous ramer? Xò — Àô ?òfañg, À éét habile à gagner son monde. ","needed for: Ë im — hồ or? do you have the strength to carry this? E hâm — hồ ubr plung? do you know how to row? Xò — Àô ?òfañg, À éé skillful at winning his world."
GE," Jarre.  || Unité numérique de - valeur.  (Ün ge vaut 4 muk, œ 40 mat, on 4 ligatufés, où 4 francs. )","Jar. || Numerical unit of - value. (A ge is worth 4 muk, œ 40 mat, or 4 ligatufés, or 4 francs.)"
GÉN," Presser sous un poids, écraser.  — fañg Eul téng, presser contre terre sous son genou.  Long — địa, dia — long, l'arbre en tombant écrase l’her- be, et l'herbe à son four couvre l'arbre.  (Pfơ- vetbe dont lé sens est: celui qúi a le dessus au- jourd’hui, peut ensuite avoir le dessous.  )","Press under a weight, crush. — fañg Eul téng, press against the ground under your knee. Long — địa, dia — long, the tree in falling crushes the grass, and the grass in its oven covers the tree. (Pfơ- vetbe whose meaning is: the one who has the upper hand today, can later have the lower one.)"
GEP: Porter ou tenir sous le bras (comme tn livre,) :,):
GÉR," Grain.  Ming — ba, hab, un grain dé ri, đé rnaïs.  j Numéral de beaucoup de choses peti- tes.  Ming — ka, un poisson. ","Grain. Ming — ba, hab, a grain of ri, đé rnaïs. j Numeral of many small things. Ming — ka, a fish."
GET, Petite gourde pour porter de l'eáù avec soi éh voyagé.  . ,Small bottle to carry water with you when traveling. .
"mot est très peu usité, sinot” dans cette phrase: đởng 4h kd oa, le —, si tu né véux pas, laisse-le", } ,}
"GIA, GIA GIA"," Un peu, peu à peu.   assez bien, un peu mieux. ","A little, little by little. pretty good, a little better."
"GIÂM, IÂM"," Diminuer, avancer vers la fin, se consumer peu à peu.  16k nhôrong — täl, sil’on en prend si souvent, il faut bien qu'il diminue.  Hém 5 keh? votre travail avance-t- il, approche-t-il de la","Diminish, move towards the end, burn away little by little. 16k nhôrong — täl, if you take it so often, it must decrease. Hem 5 keh? is your work progressing, is it approaching completion?"
GÏNG," Courber les deux bouts d'une baguette, d’une branche, et les ficher en terre.  (C’est une manière de faire un signe, comme Gai en est une autre, soit pour indiquer une route, soit pour s'ap- proprier une chose. ) Bu kal long mä inh klaih — ? qui a coupé l'arbre que je m'étais approprié par un signe ?","Bend the two ends of a stick, a branch, and stick them in the ground. (It is a way of making a sign, as Gai is another, either to indicate a route, or to appropriate a thing.) Bu kal long mä inh klaih —? who cut down the tree which I appropriated by a sign?"
"GIR, GIER", Arbre dont le bois est très propre à faire des barques solides. ,Tree whose wood is very suitable for making strong boats.
GIT," Estimer, priser, faire grand cas de.  De —zò jàp, on l'estime partout.  7ð ko de —, digne d’estime. ","To esteem, to prize, to make much of. From —zò jàp, it is esteemed everywhere. 7ð kb of —, worthy of esteem."
GLAH," Qui va se recourbant à mesure qu’il s'éloigne de sa base.  (Un sabre est glah, quand sa lame est en forme de flamme. )","Which will curve as it moves away from its base. (A saber is glah, when its blade is in the shape of a flame.)"
GLAI, Endroit de la rivière où le courant cesse d’être rapide. ,Place in the river where the current stops being rapid.
GLAIH," La foudre.  Bôk —, le grand-père qui tonne.  (C'est le Fupiter tonnant des Bahnars. ) — tah inh, que la foudre me frappe. ","Lightning. Bôk —, the grandfather who thunders. (It's the thundering Fupiter of the Bahnars.) — tah inh, let lightning strike me."
GLE," Accrocher, saisir au moyen d’un croc.  — 1ÿk, même sens. ","To hook, to seize with a hook. — 1ÿk, same meaning."
GLE," Homonyme, de même nom.  — i#k, mon homonyme.  (Deux Bahnars de même nom s’ap- pellent toujours Ge, parce qu’il leur répugne de prononcer leur propre nom. )","Homonym, same name. — i#k, my namesake. (Two Bahnars with the same name always call themselves Ge, because they are reluctant to pronounce their own name.)"
"GLECH, GLEK"," Tourner peu à peu, mouvoir ","Turn little by little, move"
circulairement suivant l’axe de l’objet," — gð, tour- ner la marmite de riz peu à peu, pour parachever la cuisson.  — đỏ ak in uh bò truh, il n’a plus la force de se tourner sur sa couche. ","— gð, turn the pot of rice little by little, to complete the cooking. — đỏ ak in uh bò truh, he no longer has the strength to turn over on his bed."
GLEH," Fatigué, harassé, faiblesse.  — glan, extrême faiblesse, atonie.  — koh dik, se fatiguer inutilement, peine perdue.  || Ennuyé de, fatigué de.  Inh — hò đăng, je suis fatigué de l'entendre.  '","Tired, exhausted, weakness. — glans, extreme weakness, atony. — koh dik, tiring yourself out unnecessarily, wasted effort. || Bored of, tired of. Inh — hò đăng, I'm tired of hearing it. '"
