Keys,Definitions,Max_Probability_Label,Max_Probability,Second_Max_Probability_Label,Second_Max_Probability
aguăt,centipede ,animals activity,0.8999871015548706,animals,0.0743280425667762
ah (no initial glottal) ,final question particle,language,0.611200749874115,human activity,0.113864816725254
ahrei,"now, these days",human activity,0.551734983921051,language,0.1132152304053306
ai ,"lucky, fortunate, also meaning of strength, authority in some mystical sense",language,0.4821917712688446,human activity,0.2078220248222351
"ai, măk ai","fault, responsibility",human activity,0.4613533318042755,language,0.4490675330162048
măk ai kơ ih,it will be your fault,human activity,0.9612957239151,language,0.0170737449079751
aĭ,to be equal,human activity,0.2975848913192749,language,0.2731840908527374
aī,vocative in final position,language,0.6812364459037781,human activity,0.2294170260429382
ajar,a forest plant which has edible flowers,plants,0.9391866326332092,scenery,0.0163974314928054
ak,crow,animals activity,0.5420827269554138,animals,0.2017957419157028
"akâu, akŏu",body,human activity,0.7175100445747375,animals activity,0.1047069206833839
akap,mouse trap,animals activity,0.6087581515312195,animals,0.3678681850433349
akar,skin ,human activity,0.4287933111190796,animals activity,0.2501484751701355
akăn ,wife ,human activity,0.6971620917320251,animals activity,0.0920124500989914
ake ,horn (animal),animals,0.7167283296585083,animals activity,0.2707477509975433
akhan,"to tell, to teach",language,0.4697899520397186,human activity,0.353469580411911
akhoi,prevent ,human activity,0.312443345785141,language,0.2525822818279266
ako ,neck,human activity,0.4993875920772552,animals activity,0.1768346279859542
"akoh, akoh sut",honey-thick yellow stage,scenery,0.879546582698822,human activity,0.0390758998692035
"akŏm, akŭm","to meet together, to gather things",human activity,0.8586028814315796,language,0.037469495087862
akôih,"to shave, to scrape",human activity,0.9169152975082396,animals activity,0.0344118513166904
akơn,pillow,human activity,0.4646676480770111,animals activity,0.220377430319786
akơn,to lean on,human activity,0.5077081322669983,language,0.1281423717737198
akơng,leaf stem and main vein running up middle of leaf ,plants,0.6727675199508667,animals activity,0.0815003216266632
ala ,"under, beneath ",language,0.4744919836521148,water,0.1451346129179
alah,ouch ,human activity,0.4738966524600982,animals activity,0.1116719469428062
alah,lazy,human activity,0.4824574589729309,language,0.2206603735685348
amăn,spend only a little,human activity,0.4528910517692566,language,0.1428259909152984
ameng,to sit in one place working away,human activity,0.8767980933189392,animals activity,0.0291508845984935
amǐl,"glass, mirror",human activity,0.4278373420238495,language,0.1909561604261398
amǐk,continually ,human activity,0.4498333632946014,language,0.1402046978473663
amră,peacock,animals activity,0.738821804523468,animals,0.1222386136651039
amrĕ,red pepper,human activity,0.4048108756542206,animals activity,0.2168692797422409
amrĕ nô,"type of red pepper, large and not so hot ",animals activity,0.2246271222829818,human activity,0.1765319108963012
amrĕl,words of someone insisting they can do something but they can't,language,0.7729424238204956,human activity,0.2017644643783569
"anai, nai","different, another",human activity,0.2101827561855316,language,0.1759256422519683
anaǐ,to think mistakenly ,human activity,0.357157826423645,language,0.2125100344419479
anam ,necklace of beads,human activity,0.5805386900901794,animals activity,0.0851022377610206
anat,difficult,human activity,0.4137095808982849,animals activity,0.1237687095999717
anăn,name,human activity,0.4275542497634887,language,0.3154666125774383
anăp,in front of ,human activity,0.4917719662189483,language,0.1086623147130012
sơnăm anăp,next year,human activity,0.3575073480606079,animals activity,0.134583443403244
anễ,in the middle,human activity,0.3812439441680908,animals activity,0.1372217386960983
anih,place,scenery,0.4038611948490143,human activity,0.1913177967071533
ano,to give oneself a name meaning strong,human activity,0.5413146615028381,language,0.2643463015556335
anong,to carry by pole on shoulder,human activity,0.7141183018684387,animals activity,0.1305384933948516
anỗ,to go,human activity,0.4455368816852569,language,0.1918096542358398
anul,"to play, tease",human activity,0.7760820388793945,language,0.1191821321845054
anŭng,a package,human activity,0.3220923840999603,language,0.1823018491268158
and,"glory, famous, report",human activity,0.4936675727367401,language,0.3253646492958069
anglaī-anglaī,dangerous things,human activity,0.4124580323696136,animals,0.1306122839450836
anglop,sheath for sword,human activity,0.4317509829998016,animals activity,0.1874803304672241
angỡm,"headband, to put on headband",human activity,0.8094311356544495,language,0.1503884494304657
anhăk,"to carry along, bring",human activity,0.382160872220993,language,0.3616283237934112
anhok,"to choke with string, rope",human activity,0.5026276111602783,animals activity,0.2151007056236267
anhŭn,hammock,language,0.3039183914661407,animals activity,0.2467025965452194
ao,"shirt, blouse ",human activity,0.641471266746521,language,0.1091507524251937
"apa, apo apa",to dream of something that happened during the day,human activity,0.3174501061439514,language,0.1541779488325119
apah,"to pay wages, to reward",human activity,0.798008143901825,language,0.1191669702529907
apĩnh,"ask for, beg for",human activity,0.5357169508934021,language,0.2911038696765899
apo,to dream,human activity,0.4461901187896728,language,0.2165462374687194
apoh,to communicate a disease,language,0.461159884929657,human activity,0.2013269364833831
apôm,"round, roundish",human activity,0.2577163279056549,language,0.2511730492115021
apơi,"to wish, beseech",language,0.4824480414390564,human activity,0.37364661693573
apŭng,section area,human activity,0.2824414670467376,scenery,0.2076277434825897
arah,bedbug,animals activity,0.9422216415405272,animals,0.0157688539475202
arăk,"crisp, brittle, hard",language,0.3255602419376373,weather,0.2257085889577865
arăng,hard (material),human activity,0.1960678845643997,language,0.1943030804395675
arăng grăng,"well, having no illness",human activity,0.4191488325595855,water,0.130658358335495
areh,to hate,human activity,0.4484069645404815,language,0.33370241522789
areh,a type of tree,plants,0.3628936111927032,animals activity,0.1215201616287231
arih,to live,human activity,0.585227906703949,animals activity,0.1366769969463348
aroh,type of tree with fruit used to trap birds,animals activity,0.8066017031669617,plants,0.0871835798025131
arỡp-arăp,bad backache,human activity,0.701775074005127,animals activity,0.0992597788572311
arum,roar of tiger,animals activity,0.6739168167114258,animals,0.313142716884613
asai,to fish with rod,animals activity,0.5137494802474976,human activity,0.4137556254863739
aseh,horse,animals activity,0.4916867017745971,animals,0.4904327988624573
asêu,sound of sneeze,human activity,0.8564398884773254,animals activity,0.1242807283997535
asi,chirp of bird,animals activity,0.8362734913825989,animals,0.1318558156490326
asong,"to divide, distribute",human activity,0.6051114201545715,language,0.1743991374969482
asu,to cover oneself with a blanket,human activity,0.8003902435302734,language,0.0483307354152202
ataih,far,human activity,0.3076024353504181,animals activity,0.1371628791093826
ataih yaih,very far,human activity,0.3150562644004822,animals activity,0.1739564388990402
ată,"give authority, request, accuse",language,0.5555786490440369,human activity,0.3740372657775879
atăng,to hang up - as a banner,human activity,0.4796172082424164,language,0.2239225804805755
atăr,strap of basket ,human activity,0.499024897813797,animals activity,0.1921672075986862
ate ,type of gruel eaten with rest of meal-meat and bamboo sprouts,plants,0.5419692397117615,human activity,0.1821615844964981
"athay, athei","to command, order ",language,0.5284402370452881,human activity,0.3554727137088775
athĕn,"to command, order",language,0.5490757822990417,human activity,0.3446148037910461
atol,to hang,human activity,0.5167505741119385,language,0.1979836225509643
atop ,to roll up in,human activity,0.4980773031711578,animals activity,0.1969946771860122
atŏ,equal,human activity,0.4044793248176574,language,0.1461330354213714
atŏk,to lift something up,human activity,0.5962045788764954,language,0.1070824787020683
atŏl,stalk of bananas,animals activity,0.4958389103412628,plants,0.2595923244953155
atŏng,stem ,plants,0.8120690584182739,language,0.0509092845022678
"atâu, atŏu","ghost, corpse",language,0.3349105715751648,human activity,0.1683272421360016
atỡm,to fasten thatch to roof frame ,human activity,0.7747830748558044,weather,0.0651358067989349
"atỡng ,  'long atỡng",sticks used as frame in weaving,human activity,0.8017928004264832,scenery,0.0393615141510963
atŭch,"to fall short of the mark, to move backward",human activity,0.3309774398803711,language,0.2694044709205627
awan,section of bamboo,plants,0.920603096485138,animals activity,0.0513859167695045
awăt,type of bird living on ground,animals activity,0.7717136144638062,animals,0.1918941438198089
"awih, awih-awăn","to serve, help ",human activity,0.68733811378479,language,0.1833913624286651
ayăt,"trouble, unrest, dislike ",human activity,0.4030873477458954,language,0.369011640548706
bơngai ayăt,enemy ,animals activity,0.2747425734996795,language,0.2517072856426239
ayeh,compassionate,human activity,0.37831911444664,language,0.307833582162857
ayĕl,sing,language,0.5574162006378174,human activity,0.2655016779899597
ayor,of a smell to permeate,human activity,0.2837593555450439,animals activity,0.1816950142383575
ayơ,"where, which",language,0.5465167164802551,human activity,0.1615888923406601
ăl,intensifier ,human activity,0.4402861297130584,language,0.3013229966163635
ăn,give ,human activity,0.2950923144817352,language,0.2303611487150192
ăt,a yoke,human activity,0.4071696102619171,animals activity,0.3032982349395752
ba,1st person dual inclusive ,human activity,0.4349441528320312,language,0.3733081519603729
ba,"to take along with, go along with ",human activity,0.4152976274490356,language,0.2614668309688568
bah,"downriver, south",water,0.7951660752296448,human activity,0.080218568444252
"bah, dak bah",flowing water with debris in it,water,0.8572341799736023,human activity,0.0654779374599456
bah,"wash, wipe with water",water,0.7570681571960449,human activity,0.1737842708826065
Bahnar,Bahnar,language,0.4069744050502777,human activity,0.2552173137664795
bai,small bamboo basket,plants,0.2898304760456085,animals activity,0.2466241121292114
bal ,harlot ,human activity,0.3478983044624328,animals activity,0.2801057994365692
bang ,see clearly,human activity,0.2671301364898681,language,0.2073514014482498
bă,spoon,human activity,0.4532017111778259,language,0.1728686392307281
băk,nighthawk,animals activity,0.6097620725631714,human activity,0.1735366135835647
băl,"each other, reciprocal ",human activity,0.5237374901771545,language,0.2126724570989608
blah băl,fight each other ,human activity,0.8306980729103088,animals activity,0.1305916756391525
"băn, tơpỗ băn",very good friend apparently with special bond or contract ,human activity,0.4610247015953064,animals activity,0.2673914432525635
băt,to know,human activity,0.3467463850975036,language,0.1869462579488754
bek,fat ,human activity,0.4232855141162872,animals activity,0.1937445551156997
ben,"craw, crop of birds",animals activity,0.7630704045295715,animals,0.2176103144884109
beng,to shove,human activity,0.7829697728157043,animals activity,0.1198921874165535
bĕ,"imperative, often has the idea of including speaker in action of the verb",language,0.3946231603622436,human activity,0.3162063658237457
bĕl tơbĕl,designates something small,language,0.226397231221199,water,0.2014234215021133
bĕng,to carry as in holster,human activity,0.5007444024085999,language,0.3567763566970825
"bia, prit bia",long green type bananas,animals activity,0.3783038854598999,plants,0.305356502532959
biao,"completely gone, nothing there ",scenery,0.3000471591949463,language,0.1844866573810577
biĕm,second person dual,human activity,0.6765182614326477,language,0.1342309415340423
biĕng,to express feelings with eyes,human activity,0.7946591973304749,animals activity,0.0652525871992111
bioh,"to hit with fist, box",human activity,0.8118033409118652,language,0.0776476040482521
biôi,lime,language,0.4189941883087158,water,0.2387217432260513
biônh,type of smile,human activity,0.7434068322181702,animals activity,0.0757883265614509
biông,large basket used for measuring rice,human activity,0.8165148496627808,animals activity,0.10133708268404
bip,duck,animals activity,0.6004713773727417,animals,0.3578061759471893
bǐ,"and (you), how about (you)",language,0.4876778721809387,human activity,0.4169721603393554
bī,negative ,human activity,0.2972748279571533,language,0.2699911892414093
bih,poison,human activity,0.5514776110649109,animals activity,0.2116119116544723
bla,kidneys,human activity,0.3821409940719604,animals activity,0.3346085548400879
"blach, plei blach",Adam's apple ,animals activity,0.4511893093585968,human activity,0.4179723560810089
blah,to split,human activity,0.3505434393882751,language,0.1923796236515045
blah,to fight ,human activity,0.6047587394714355,animals activity,0.2811287343502044
blah ,"classifier for clothes, blankets",human activity,0.6850197911262512,language,0.0813085585832595
blai,to overflow,human activity,0.3470712304115295,water,0.2236319631338119
blang,"to open fist, unfold cloth",human activity,0.6802639961242676,language,0.1505725979804992
blang,to split,human activity,0.3505434393882751,language,0.1923796236515045
blăn,marks on skin as toothmarks,human activity,0.7206614017486572,animals activity,0.1622188985347747
blei,to curse name of other person's parents,language,0.6848120093345642,human activity,0.2885063290596008
blip,to keep coming though you try to stop,human activity,0.6772387623786926,animals activity,0.1326426416635513
 blip,dark all over as about to rain ,weather,0.522364616394043,water,0.2504519820213318
blo ,a fruit with several edible outer layers,animals activity,0.2001559436321258,human activity,0.1405133605003357
"blo, blo tơblo",to designate person with puffed cheek because of food inside,human activity,0.429466187953949,language,0.3851161897182464
blok,to turn head,human activity,0.5068855881690979,animals activity,0.2480370104312896
blŏng,handle of axe,human activity,0.8592734932899475,animals activity,0.1057352572679519
bloih,to shoot at something nearby and miss,human activity,0.8774024248123169,animals activity,0.0702704265713691
blŏng-blĕnh,of a log to turn,animals activity,0.5033868551254272,human activity,0.1730042845010757
blôk,of water to boil up,water,0.7483981847763062,human activity,0.1748408824205398
biôm,edible part of jackfruit,plants,0.4102930724620819,animals activity,0.2652166485786438
"blông, roi blông",person covering up with words his real feelings,human activity,0.8820030093193054,language,0.098995640873909
blông,gallop,animals activity,0.4601451754570007,human activity,0.3916568458080292
blôt,of wood bamboo to be still green though cut already,plants,0.9246677160263062,animals activity,0.0165255181491374
blơch,"describes food that is oily and smooth as peanut butter, pounded squash seeds",language,0.5605730414390564,human activity,0.0846248939633369
blỡ,"to turn over of own accord as car, waves; to turn pages",human activity,0.7159421443939209,animals activity,0.1314793974161148
blỡ blĕch,"to be changeable, not keeping one's word",language,0.3930353820323944,human activity,0.2952309250831604
blu,"upper leg, thigh",human activity,0.5842470526695251,animals activity,0.188191682100296
bluh,to sprout out of the ground,plants,0.3387921750545501,human activity,0.2823206186294555
blũk blũk,the bubbling up of water from someone drowning or ghost,water,0.721738338470459,human activity,0.077028214931488
blũng,to penetrate,human activity,0.4153806865215301,language,0.1634602099657058
blũt,to feel angry inside,human activity,0.6242547631263733,language,0.1914831548929214
blư,to describe sudden arrival of someone,human activity,0.6720812916755676,language,0.2632095515727997
blư-bla,sudden arrival of many people,human activity,0.9583864212036132,language,0.0115791643038392
"bo, 'ba bo",rice grain with no kernel,animals activity,0.2093967944383621,plants,0.1735755950212478
"boih, bơih",already,human activity,0.5971693992614746,animals activity,0.0986952111124992
bong ,casket ,human activity,0.2740094065666199,language,0.2427682280540466
bop ,"to be thin-looking with age as man, bamboo ",plants,0.3704051971435547,animals activity,0.1763935536146164
bot,"clean, beautiful--house,clothes",human activity,0.7712572813034058,scenery,0.079835444688797
bŏ,mumps,human activity,0.4057464897632599,animals activity,0.2819249927997589
bŏk,"to hollow out, make hole in wood large or small",human activity,0.6291623115539551,animals activity,0.1126358211040496
bŏk ak,"armpit, underarm",human activity,0.4841738939285278,animals activity,0.2581444084644317
"bŏl, bŏl",island,scenery,0.2987001240253448,human activity,0.2046463936567306
"bŏng, nhŭng bŏng","boar, male pig",animals,0.7145236730575562,animals activity,0.2750025391578674
"bâu, bŏu roi ",to talk about behind one's back,language,0.4144566655158996,human activity,0.3845461308956146
"bô, sem bô",owl,animals,0.3565891981124878,animals activity,0.336659163236618
bôǐ,small jar,human activity,0.3979738056659698,water,0.1847700476646423
"bôk, prit bôk-prit Yuăn","short fat yellow bananas also known as ""Vietnamese bananas""",animals activity,0.3575094938278198,human activity,0.2281222641468048
bôk,greyish white,human activity,0.3128988742828369,animals activity,0.1616364568471908
bôl,"friend, companion, peer",human activity,0.6000581383705139,language,0.2024069279432296
"bôm, 'bih bôm",poisonous green snake,animals activity,0.6144763827323914,animals,0.3566395938396454
bôn kơne,upper arm muscles,human activity,0.8000020384788513,animals activity,0.0687155053019523
bơ,small black fish,animals activity,0.3948733806610107,water,0.3561041951179504
bơ-,prefix used to imitate stuttering,human activity,0.5958825349807739,language,0.185126781463623
"bơang, bơuh-bơang",to perspire profusely,human activity,0.6680150032043457,animals activity,0.1035567969083786
"bơbah, gah bơbah","toward the mouth of the river, south",water,0.5599691867828369,human activity,0.1785400062799453
bơde,goat,animals,0.6074525713920593,animals activity,0.3811812400817871
bơbŏk,to take out with hands to eat,human activity,0.8788776397705078,animals activity,0.0615634322166442
bơbŏng,the neck of a gourd (water container) or bottle,water,0.8457608222961426,human activity,0.0458324812352657
bơbông,to designate appearance of a large hole,human activity,0.3650700151920318,language,0.3135020732879638
bơbỡ,to prepare meat for cooking,human activity,0.5289101600646973,animals activity,0.275976151227951
bơbỡt-bơbăt,to hit long and hard or to work a long time,human activity,0.7120638489723206,animals activity,0.1046661660075187
bơbrǐl,the feeling one gets on his bare feet when walking over pebbly ground,human activity,0.6865065693855286,scenery,0.0662997439503669
bơbrŏk,of conversation to go back and forth,human activity,0.7906002998352051,language,0.1583130210638046
bơbrŏng,to designate an empty house,language,0.4677881896495819,scenery,0.188012033700943
bơbrơng,to designate a smelly mess with flies all over it,human activity,0.3539888858795166,language,0.3281645774841308
bơbrỡk-bơbrăk,to designate many people talking continually,human activity,0.9336454272270204,language,0.0446050129830837
bơbul,"not able to see much, almost blind",animals activity,0.2556066811084747,human activity,0.1908797323703766
bơbul,rounded jar,human activity,0.4448518455028534,animals activity,0.1399956494569778
bơbŭng,"roof, also a classifier for house",human activity,0.5286409258842468,language,0.1095460876822471
bơhleng,of a woman to have a continual desire to eat,human activity,0.8076033592224121,animals activity,0.0842765644192695
"bơhlik, pơma bơhlik",to tell over and over even though a person has heard,human activity,0.5135906934738159,language,0.2619818150997162
bơhlik-bơhlak,destruction,human activity,0.6480031609535217,language,0.0769891142845153
bơhngir,body odor,human activity,0.7854418158531189,animals activity,0.1033305004239082
bơhur,to be very hot at night,weather,0.4636232852935791,human activity,0.2453983277082443
bơla ,elephant,animals,0.5457267761230469,animals activity,0.4439086019992828
bơlah,rice cooked in banana leaves or bamboo sections and boiled,human activity,0.3728362917900085,plants,0.2030191868543625
bơlang,bird with white standing feathers on head,animals activity,0.5525866746902466,animals,0.4108408391475677
"bơlang, brai bơlang",white thread,human activity,0.3118435144424438,language,0.1772882491350174
bơlao,day before yesterday or most a few days ago,human activity,0.4806189239025116,language,0.1373121291399002
bơlăm,of children to talk to themselves,human activity,0.8222730755805969,language,0.0928625240921974
"bơle, che bơle","to scorn, make fun of",human activity,0.466457337141037,language,0.3251718878746032
"bơling, sem bơling",bird,animals activity,0.6712403297424316,animals,0.2903472781181335
bơlŏ,fever,human activity,0.4057752788066864,animals activity,0.2151535302400589
"bơlŏu, hla bơlŏu",the leaf part used in betel nut mixture,plants,0.5104590058326721,human activity,0.1782982945442199
bơlôh,hole in wall as rat hole,animals activity,0.7613698840141296,animals,0.225266233086586
bơlơh,"to take over for, to exchange things or positions, relieve ",human activity,0.6416247487068176,language,0.1239810958504676
bơlỡk,aluminum,human activity,0.354439914226532,animals activity,0.2450765967369079
bơlũ,to mix different things together,human activity,0.2124553322792053,water,0.1633128374814987
bơluỡl,"to mumble, not able to talk",human activity,0.4211973547935486,animals activity,0.1842842102050781
bolũk,to overeat or drink,human activity,0.8374184370040894,animals activity,0.0603841505944728
bơmĕng gŏ,kettle black,language,0.3495135605335235,human activity,0.2275639772415161
bơnông,ceremony for someone who has died away from home and body not returned,human activity,0.5650441646575928,language,0.2190234661102295
"bơmŏu, bơnâu",mushroom,animals activity,0.794491708278656,animals,0.071261242032051
bơmỡt,west,human activity,0.4177150130271911,language,0.1184058785438537
bơmreh,dead branch with no leaves,weather,0.3711854517459869,scenery,0.2133080661296844
bơmuih,field made in woods,scenery,0.8146944642066956,animals activity,0.0493143796920776
"bơnă, bơngai bơnă",captive,human activity,0.4240728914737701,animals activity,0.2640078961849212
bơneh,"word used to describe intensive activity, not sure whether body part or intensive only",language,0.4551726877689361,human activity,0.2554104924201965
bơnei,waist,human activity,0.2794729471206665,language,0.180564284324646
bơnĕcg,tree stump cut on angle,human activity,0.4218178689479828,scenery,0.1992077380418777
bơnê,"to thank, be grateful ",language,0.6047196984291077,human activity,0.2130824774503708
bơnŏ,to be weak,human activity,0.3000780642032623,language,0.203296422958374
bơnỡng,"lid, cover",language,0.3886893987655639,human activity,0.1924804896116256
bonỡt,dam,human activity,0.3786164820194244,water,0.1878001987934112
bơnũng,young bamboo,plants,0.5572066307067871,animals activity,0.2378458082675933
bơng,"the stomach of a cow, carabao",animals,0.600822389125824,animals activity,0.3857280910015106
bơng,hollow tree trough made from cut log,scenery,0.2489193677902221,water,0.2138319164514541
"bơnga, klăn bơnga",the long variety of python,animals activity,0.5936084389686584,animals,0.3454607725143432
bơngai,"person, people ",human activity,0.8932875990867615,language,0.0889649093151092
kon bơngai,mankind,human activity,0.9634860754013062,animals activity,0.0232204627245664
bơngoi,"sad, crestfallen",language,0.40971839427948,human activity,0.312726080417633
"bơnhă, đak bơnhă",type of spring,water,0.6357802152633667,weather,0.142710268497467
bơnhuăl,type of anteater,animals,0.6079850792884827,animals activity,0.3749920129776001
bonhŭl,toadstool ,animals activity,0.8374422788619995,human activity,0.0470434203743934
bơŏ,"description of fat-cheeked, fat-bellied child",language,0.784422755241394,human activity,0.111277237534523
bơôr,bloated,human activity,0.3728896677494049,language,0.2171489298343658
bơỗ,"similar to bơŏ but describing an adult, bloated as in death",language,0.7934860587120056,human activity,0.1005793809890747
bơring,to lead a sick person,human activity,0.9126209020614624,animals activity,0.0303969513624906
bơrơng,"to watch, take care of children or animals",animals,0.3655411303043365,animals activity,0.2955031096935272
bơsa,instrument used to keep thread close together in weaving,human activity,0.3639373779296875,language,0.1197553873062133
"bơsat, pơsat","tomb, cemetery, grave",human activity,0.6537317633628845,language,0.1307788640260696
bơsŭn,"hut, shelter",human activity,0.6505516171455383,language,0.1509754359722137
bơuh,to perspire,human activity,0.6721693873405457,animals activity,0.0975213199853897
bơwang,to encircle,human activity,0.503091037273407,language,0.1340116560459137
bơwĕnh,cowlick,human activity,0.3115749359130859,language,0.2930652797222137
bơwīnh-bơwīnh,move around in place,human activity,0.7065157890319824,scenery,0.0849271342158317
bơya hong,crocodile,animals activity,0.5909081697463989,animals,0.3993626534938812
bơyong,to sing mimicking one another,human activity,0.8015031218528748,animals activity,0.0817134082317352
boyỡng,to go for a walk usually used as euphemism for going to the bathroom,human activity,0.697547435760498,language,0.2190769463777542
bỡ,"to work, build to work",human activity,0.8723196387290955,language,0.0668426901102066
bỡl,dull (knife),human activity,0.4554744660854339,animals activity,0.2459345608949661
bỡn,1st person plural inclusive ,language,0.5361213684082031,human activity,0.2005947530269622
bỡn,pluralizer usually used when more than one type of is being,human activity,0.2470117509365081,language,0.2218750566244125
bỡng,to cover pot with leaves and tie around ,plants,0.6376133561134338,human activity,0.1330887228250503
bỡt,to make a dam,human activity,0.8251028060913086,water,0.1277650296688079
brai,thread,human activity,0.3436168134212494,language,0.2430495619773864
bram,beard of billy goat,animals activity,0.5003477334976196,animals,0.4687546193599701
bơbe bram,billy goat,animals,0.6069863438606262,animals activity,0.3849887549877167
brang,plant used to make rope,plants,0.8856924772262573,animals activity,0.051238477230072
brăm,not the best but okay,human activity,0.3455798029899597,water,0.1185118034482002
"brăng, kŏ brăng",millipede,animals activity,0.8666914701461792,animals,0.1180317103862762
bre,dualizer for 3rd person,language,0.3506593108177185,human activity,0.3115840852260589
bre sư,those two,human activity,0.5402336120605469,animals activity,0.1300821900367736
bre,term designating many people only used in vocative,language,0.534356415271759,human activity,0.3719222247600555
brĕ,"carefully, well ",human activity,0.4004623591899872,language,0.1942383497953415
"brĕch, 'ba brĕch",wild rice,animals activity,0.4846317768096924,plants,0.4401116073131561
brei,yesterday,human activity,0.4859668314456939,language,0.1095435172319412
brĕl,"small, round objects like peanuts",animals activity,0.2730742990970611,plants,0.1397415101528167
brĕng,type of tree--very large,animals activity,0.1923054605722427,plants,0.1736914664506912
brĕnh,color combination of having small spots of black and white,human activity,0.1700412184000015,water,0.1689547002315521
brĕng,rust,human activity,0.2178519070148468,animals activity,0.1578072309494018
bri,woods,plants,0.5743545293807983,scenery,0.2158182561397552
brih,to pass by ,human activity,0.5881786942481995,animals activity,0.1068399026989936
brǐng ,"evil, bad",language,0.3439911305904388,human activity,0.2675248086452484
bro,area of land beside field not yet cultivated,plants,0.298783928155899,scenery,0.2181231081485748
broch,to harvest rice by stripping grains from plant,human activity,0.4323961734771728,plants,0.4313498735427856
broi,regular hard rice ,human activity,0.3562231063842773,language,0.1471482068300247
brong,type of basket carried on back,human activity,0.6670448780059814,animals activity,0.2081523239612579
brỡk,return,human activity,0.3927491009235382,language,0.1857373267412185
"brôn, tung brôn",to be in prime of life,human activity,0.5764569044113159,animals activity,0.116692803800106
brôn,itchiness from riding wet animal,animals activity,0.5428193807601929,animals,0.3943781554698944
brônh,color combination such as that of a tiger ,animals,0.5523006319999695,animals activity,0.3847300112247467
brỡ-brỡ,of money to be spent easily,human activity,0.4554315507411957,language,0.1414185315370559
brỡng ,basket with decorative layer,human activity,0.4761163592338562,scenery,0.1397989690303802
bru-bra,to designate many small things coming out from a hole,animals activity,0.2067125290632248,human activity,0.1945010274648666
brua,"to indicate the way rice, people come out of somewhere",human activity,0.8707269430160522,language,0.0436111539602279
bruơ,intensification of brua,human activity,0.4121149182319641,animals activity,0.3302822113037109
bruang,to indicate a large house,human activity,0.588932454586029,language,0.1853242367506027
bruỡng,"to indicate very large house, intensification of bruang",human activity,0.7258313298225403,language,0.171351358294487
"bruh, brit","dirty, uncouth",human activity,0.5301278233528137,language,0.2523729801177978
brui,corn hair,animals activity,0.4157418012619018,human activity,0.3072024881839752
brunh,color combination like gray,human activity,0.2169421911239624,water,0.164624884724617
brŭl,mountain goat,animals,0.5242939591407776,animals activity,0.438692033290863
