,Keys,Definitions,0,1
71,"anai, nai","different, another",10.521226,5.9000874
72,anaǐ,to think mistakenly ,9.557758,5.986632
73,anam ,necklace of beads,9.920489,8.439375
74,anat,difficult,9.138924,7.071092
75,anăn,name,10.871035,6.2372303
76,anăp,in front of ,9.142681,7.9016275
77,sơnăm anăp,next year,5.926766,6.830362
78,anễ,in the middle,9.094351,7.832236
79,anih,place,8.970749,4.8907356
80,ano,to give oneself a name meaning strong,8.254786,5.9367065
81,anong,to carry by pole on shoulder,8.885588,9.638734
82,anỗ,to go,7.831385,7.326013
83,anul,"to play, tease",7.5439205,5.267365
84,anŭng,a package,10.38996,7.7725067
85,and,"glory, famous, report",8.368947,5.7000017
86,anglaī-anglaī,dangerous things,6.650759,4.9725356
87,anglop,sheath for sword,9.927199,9.301468
88,angỡm,"headband, to put on headband",10.449561,8.886841
89,anhăk,"to carry along, bring",8.880646,9.637866
90,anhok,"to choke with string, rope",9.970988,10.283909
91,anhŭn,hammock,10.178638,7.471086
92,ao,"shirt, blouse ",8.2799635,10.308275
93,"apa, apo apa",to dream of something that happened during the day,7.383019,6.6338024
94,apah,"to pay wages, to reward",9.202597,6.7407374
95,apĩnh,"ask for, beg for",9.367932,6.6625776
96,apo,to dream,7.413393,6.6339383
97,apoh,to communicate a disease,9.134406,6.188211
98,apôm,"round, roundish",10.588518,9.814529
99,apơi,"to wish, beseech",7.4900193,6.539962
100,apŭng,section area,10.19056,7.347709
101,arah,bedbug,10.152541,7.3510003
102,arăk,"crisp, brittle, hard",8.396676,8.951855
103,arăng,hard (material),8.453943,9.044235
104,arăng grăng,"well, having no illness",7.086234,7.809506
105,areh,to hate,7.526874,4.7447343
106,areh,a type of tree,8.769009,12.214506
107,arih,to live,7.2368536,6.4287524
108,aroh,type of tree with fruit used to trap birds,8.859022,12.349832
109,arỡp-arăp,bad backache,9.781428,7.9422674
110,arum,roar of tiger,12.043483,11.250229
111,asai,to fish with rod,9.046955,13.469323
112,aseh,horse,11.497999,9.04988
113,asêu,sound of sneeze,13.059886,11.336957
114,asi,chirp of bird,12.6380005,9.666939
115,asong,"to divide, distribute",7.6074576,12.187656
116,asu,to cover oneself with a blanket,8.525573,10.160207
117,ataih,far,9.272746,7.634017
118,ataih yaih,very far,9.252356,7.60771
119,ată,"give authority, request, accuse",8.258258,3.8286154
120,atăng,to hang up - as a banner,11.283601,7.6223407
121,atăr,strap of basket ,10.909141,15.462038
122,ate ,type of gruel eaten with rest of meal-meat and bamboo sprouts,9.757768,14.588343
123,"athay, athei","to command, order ",12.012105,6.3449845
124,athĕn,"to command, order",12.014164,6.3457093
125,atol,to hang,11.290603,7.6252875
126,atop ,to roll up in,10.811842,9.93267
127,atŏ,equal,10.49379,5.983726
128,atŏk,to lift something up,8.52625,8.796291
129,atŏl,stalk of bananas,10.19332,12.691846
130,atŏng,stem ,9.326191,12.099926
131,"atâu, atŏu","ghost, corpse",12.41544,6.8066998
132,atỡm,to fasten thatch to roof frame ,10.076731,10.175941
133,"atỡng ,  'long atỡng",sticks used as frame in weaving,9.632368,10.045581
134,atŭch,"to fall short of the mark, to move backward",7.9321666,8.479842
135,awan,section of bamboo,9.455113,14.65143
136,awăt,type of bird living on ground,12.596004,9.674844
137,"awih, awih-awăn","to serve, help ",9.608134,7.1833506
138,ayăt,"trouble, unrest, dislike ",7.4857345,4.732807
139,bơngai ayăt,enemy ,9.94354,9.101754
140,ayeh,compassionate,9.820493,6.6704993
141,ayĕl,sing,10.565568,6.701785
142,ayor,of a smell to permeate,8.096168,11.034337
143,ayơ,"where, which",9.049361,4.9227962
144,ăl,intensifier ,9.554567,7.263874
145,ăn,give ,9.439548,6.9923997
146,ăt,a yoke,10.312421,6.990216
147,ba,1st person dual inclusive ,11.573884,5.540882
148,ba,"to take along with, go along with ",8.841296,5.894891
149,bah,"downriver, south",9.49744,7.5488906
150,"bah, dak bah",flowing water with debris in it,7.372967,10.40938
151,bah,"wash, wipe with water",8.055756,10.639226
152,Bahnar,Bahnar,9.998559,14.694136
153,bai,small bamboo basket,10.845836,15.3938055
154,bal ,harlot ,10.406321,7.4738855
155,bang ,see clearly,8.913915,7.4469066
156,bă,spoon,10.148285,7.767269
157,băk,nighthawk,5.874088,7.270781
158,băl,"each other, reciprocal ",11.179588,5.386775
159,blah băl,fight each other ,9.963886,9.384479
160,"băn, tơpỗ băn",very good friend apparently with special bond or contract ,10.990218,6.182568
161,băt,to know,9.947158,7.275262
162,bek,fat ,11.231263,8.08882
163,ben,"craw, crop of birds",12.661194,9.655684
164,beng,to shove,8.607087,8.975181
165,bĕ,"imperative, often has the idea of including speaker in action of the verb",11.962294,4.722908
166,bĕl tơbĕl,designates something small,10.550179,9.318432
167,bĕng,to carry as in holster,8.896237,9.637627
168,"bia, prit bia",long green type bananas,10.196025,12.688734
169,biao,"completely gone, nothing there ",9.931461,5.00686
170,biĕm,second person dual,11.552689,5.537733
171,biĕng,to express feelings with eyes,6.1642227,7.9135704
172,bioh,"to hit with fist, box",9.11414,9.370226
173,biôi,lime,9.893161,7.182197
174,biônh,type of smile,8.799165,7.472317
175,biông,large basket used for measuring rice,10.731752,15.190503
176,bip,duck,12.446568,9.822239
177,bǐ,"and (you), how about (you)",9.820942,7.2576656
178,bī,negative ,11.211905,4.6099434
179,bih,poison,8.992932,13.121498
180,bla,kidneys,9.721325,7.149037
181,"blach, plei blach",Adam's apple ,10.282394,6.9578037
182,blah,to split,7.6238427,12.183736
183,blah,to fight ,9.923546,9.25884
184,blah ,"classifier for clothes, blankets",8.467887,11.50057
185,blai,to overflow,9.421439,5.4285154
186,blang,"to open fist, unfold cloth",8.341013,10.261816
187,blang,to split,7.620266,12.184804
188,blăn,marks on skin as toothmarks,10.925807,11.4011
189,blei,to curse name of other person's parents,10.967777,5.8632936
190,blip,to keep coming though you try to stop,8.490606,4.872424
191, blip,dark all over as about to rain ,7.714206,10.099767
192,blo ,a fruit with several edible outer layers,9.609391,12.661102
193,"blo, blo tơblo",to designate person with puffed cheek because of food inside,7.717077,9.107494
194,blok,to turn head,10.448526,8.901256
195,blŏng,handle of axe,9.772077,9.116376
196,bloih,to shoot at something nearby and miss,9.576611,9.726446
197,blŏng-blĕnh,of a log to turn,10.139615,7.067844
198,blôk,of water to boil up,6.883793,10.775404
199,biôm,edible part of jackfruit,9.454945,12.563094
200,"blông, roi blông",person covering up with words his real feelings,7.1289144,5.1319766
201,blông,gallop,10.364668,7.26047
202,blôt,of wood bamboo to be still green though cut already,9.480431,14.638671
203,blơch,"describes food that is oily and smooth as peanut butter, pounded squash seeds",9.814644,12.438433
204,blỡ,"to turn over of own accord as car, waves; to turn pages",9.3753195,5.4191294
205,blỡ blĕch,"to be changeable, not keeping one's word",9.180592,5.548907
206,blu,"upper leg, thigh",9.131958,8.691661
207,bluh,to sprout out of the ground,9.696216,7.492088
208,blũk blũk,the bubbling up of water from someone drowning or ghost,12.907088,11.447961
209,blũng,to penetrate,9.223526,10.240393
210,blũt,to feel angry inside,7.473285,4.7249827
211,blư,to describe sudden arrival of someone,10.886446,5.5463176
212,blư-bla,sudden arrival of many people,11.0306225,5.6254277
213,"bo, 'ba bo",rice grain with no kernel,10.565201,14.943085
214,"boih, bơih",already,10.18231,5.7949133
215,bong ,casket ,12.4427,6.76321
216,bop ,"to be thin-looking with age as man, bamboo ",9.446868,14.610475
217,bot,"clean, beautiful--house,clothes",8.243009,10.375177
218,bŏ,mumps,10.658055,7.315825
219,bŏk,"to hollow out, make hole in wood large or small",9.146678,10.385586
220,bŏk ak,"armpit, underarm",9.124082,8.852473
221,"bŏl, bŏl",island,10.14068,7.26985
222,"bŏng, nhŭng bŏng","boar, male pig",11.484597,9.411129
223,"bâu, bŏu roi ",to talk about behind one's back,9.056648,7.850271
224,"bô, sem bô",owl,12.627567,9.68903
225,bôǐ,small jar,10.573619,13.950686
226,"bôk, prit bôk-prit Yuăn","short fat yellow bananas also known as ""Vietnamese bananas""",10.242183,12.6682205
227,bôk,greyish white,11.17666,11.485158
228,bôl,"friend, companion, peer",11.013079,6.0998235
229,"bôm, 'bih bôm",poisonous green snake,10.552164,11.52062
230,bôn kơne,upper arm muscles,9.091673,8.892584
231,bơ,small black fish,9.06989,13.432483
232,bơ-,prefix used to imitate stuttering,9.978631,6.404838
233,"bơang, bơuh-bơang",to perspire profusely,9.794912,7.272244
234,"bơbah, gah bơbah","toward the mouth of the river, south",7.143007,10.373915
235,bơde,goat,11.252988,8.807028
236,bơbŏk,to take out with hands to eat,7.7032285,9.123396
237,bơbŏng,the neck of a gourd (water container) or bottle,7.0119843,9.215116
238,bơbông,to designate appearance of a large hole,9.178417,10.372302
239,bơbỡ,to prepare meat for cooking,6.968327,11.065617
240,bơbỡt-bơbăt,to hit long and hard or to work a long time,9.265629,9.399413
241,bơbrǐl,the feeling one gets on his bare feet when walking over pebbly ground,7.5839963,7.904811
242,bơbrŏk,of conversation to go back and forth,9.428285,6.2153473
243,bơbrŏng,to designate an empty house,9.789515,5.1073213
244,bơbrơng,to designate a smelly mess with flies all over it,8.137782,11.024301
245,bơbrỡk-bơbrăk,to designate many people talking continually,13.0297165,11.063616
246,bơbul,"not able to see much, almost blind",6.2226424,7.8280706
247,bơbul,rounded jar,10.597327,13.9117155
248,bơbŭng,"roof, also a classifier for house",8.535951,11.555237
249,bơhleng,of a woman to have a continual desire to eat,7.0281634,8.551352
250,"bơhlik, pơma bơhlik",to tell over and over even though a person has heard,13.316488,11.078805
251,bơhlik-bơhlak,destruction,11.982608,6.9478407
252,bơhngir,body odor,8.097445,11.026045
253,bơhur,to be very hot at night,6.387302,9.960163
254,bơla ,elephant,12.166795,11.331754
255,bơlah,rice cooked in banana leaves or bamboo sections and boiled,10.543747,14.940322
256,bơlang,bird with white standing feathers on head,12.510002,9.747088
257,"bơlang, brai bơlang",white thread,10.414434,10.761303
258,bơlao,day before yesterday or most a few days ago,5.8634295,6.869921
259,bơlăm,of children to talk to themselves,12.205292,7.6334634
260,"bơle, che bơle","to scorn, make fun of",8.805051,7.093009
261,"bơling, sem bơling",bird,12.632819,9.688228
262,bơlŏ,fever,6.7118106,5.1793256
263,"bơlŏu, hla bơlŏu",the leaf part used in betel nut mixture,9.463547,12.085588
264,bơlôh,hole in wall as rat hole,9.173463,10.422883
265,bơlơh,"to take over for, to exchange things or positions, relieve ",9.235589,5.5425715
266,bơlỡk,aluminum,10.065181,8.3754635
267,bơlũ,to mix different things together,11.160139,5.372257
268,bơluỡl,"to mumble, not able to talk",9.278792,6.207878
269,bolũk,to overeat or drink,6.7973604,8.929191
270,bơmĕng gŏ,kettle black,6.680811,10.9613085
271,bơnông,ceremony for someone who has died away from home and body not returned,12.353033,6.824833
272,"bơmŏu, bơnâu",mushroom,9.917448,12.372187
273,bơmỡt,west,10.105193,7.5181017
274,bơmreh,dead branch with no leaves,8.819993,12.389792
275,bơmuih,field made in woods,9.120444,11.559015
276,"bơnă, bơngai bơnă",captive,10.011851,6.9402947
277,bơneh,"word used to describe intensive activity, not sure whether body part or intensive only",-2.1094804,10.69221
278,bơnei,waist,8.596702,9.736673
279,bơnĕcg,tree stump cut on angle,8.647374,12.176679
280,bơnê,"to thank, be grateful ",8.362407,5.73467
281,bơnŏ,to be weak,8.511651,8.374505
282,bơnỡng,"lid, cover",8.78335,10.053995
283,bonỡt,dam,7.168306,10.371707
284,bơnũng,young bamboo,9.466242,14.632009
285,bơng,"the stomach of a cow, carabao",11.708929,8.300196
286,bơng,hollow tree trough made from cut log,8.7357,12.236954
287,"bơnga, klăn bơnga",the long variety of python,9.799674,7.7043414
288,bơngai,"person, people ",11.078109,5.990517
289,kon bơngai,mankind,11.111735,6.0516024
290,bơngoi,"sad, crestfallen",7.65202,4.9223847
291,"bơnhă, đak bơnhă",type of spring,8.467283,12.696739
292,bơnhuăl,type of anteater,12.07017,9.994479
293,bonhŭl,toadstool ,10.541753,12.443834
294,bơŏ,"description of fat-cheeked, fat-bellied child",11.239146,8.0633745
295,bơôr,bloated,11.704995,8.260215
296,bơỗ,"similar to bơŏ but describing an adult, bloated as in death",11.757848,8.246801
297,bơring,to lead a sick person,7.1255565,7.788108
298,bơrơng,"to watch, take care of children or animals",12.183742,7.9934998
299,bơsa,instrument used to keep thread close together in weaving,10.351283,10.706008
300,"bơsat, pơsat","tomb, cemetery, grave",12.454216,6.7477326
301,bơsŭn,"hut, shelter",8.267905,12.0017395
302,bơuh,to perspire,9.763473,7.4221315
303,bơwang,to encircle,10.823135,8.055356
304,bơwĕnh,cowlick,10.783185,7.7454624
305,bơwīnh-bơwīnh,move around in place,9.048816,5.309891
306,bơya hong,crocodile,10.6060095,11.382829
307,bơyong,to sing mimicking one another,10.601151,6.563248
308,boyỡng,to go for a walk usually used as euphemism for going to the bathroom,7.5951543,7.7855043
309,bỡ,"to work, build to work",8.304549,6.637087
310,bỡl,dull (knife),9.804875,9.220883
311,bỡn,1st person plural inclusive ,11.624831,5.6292324
312,bỡn,pluralizer usually used when more than one type of is being,11.775612,5.7085075
313,bỡng,to cover pot with leaves and tie around ,6.4224386,10.855619
314,bỡt,to make a dam,7.0998287,10.37785
315,brai,thread,10.389266,10.750959
316,bram,beard of billy goat,11.252523,8.799832
317,bơbe bram,billy goat,11.251574,8.796951
318,brang,plant used to make rope,9.077136,12.048184
319,brăm,not the best but okay,10.013732,6.8117266
320,"brăng, kŏ brăng",millipede,10.542142,7.5396028
321,bre,dualizer for 3rd person,11.567359,5.528285
322,bre sư,those two,10.286162,6.0805497
323,bre,term designating many people only used in vocative,11.311038,6.0016403
324,brĕ,"carefully, well ",8.683057,6.274653
325,"brĕch, 'ba brĕch",wild rice,10.524325,14.959406
326,brei,yesterday,5.840948,6.9216914
327,brĕl,"small, round objects like peanuts",11.025539,9.380294
328,brĕng,type of tree--very large,8.7943325,12.252779
329,brĕnh,color combination of having small spots of black and white,11.1756315,11.504195
330,brĕng,rust,10.08966,8.300184
331,bri,woods,9.104866,11.568878
332,brih,to pass by ,8.612584,6.2899823
333,brǐng ,"evil, bad",11.52427,6.501867
334,bro,area of land beside field not yet cultivated,9.211322,11.405225
335,broch,to harvest rice by stripping grains from plant,10.542597,14.923948
336,broi,regular hard rice ,10.543269,14.927557
337,brong,type of basket carried on back,10.907148,15.461116
338,brỡk,return,9.700517,6.5829973
339,"brôn, tung brôn",to be in prime of life,8.455735,6.795697
340,brôn,itchiness from riding wet animal,9.916861,11.157812
341,brônh,color combination such as that of a tiger ,11.748457,11.282459
342,brỡ-brỡ,of money to be spent easily,8.799501,6.5724845
343,brỡng ,basket with decorative layer,10.907309,15.46137
344,bru-bra,to designate many small things coming out from a hole,9.170976,10.3744
345,brua,"to indicate the way rice, people come out of somewhere",10.544307,14.950246
346,bruơ,intensification of brua,9.502825,7.293434
347,bruang,to indicate a large house,9.129786,7.7265034
348,bruỡng,"to indicate very large house, intensification of bruang",9.100529,7.5620737
349,"bruh, brit","dirty, uncouth",8.02944,10.865298
350,brui,corn hair,7.6438165,11.545968
351,brunh,color combination like gray,11.208902,11.564084
352,brŭl,mountain goat,11.228054,8.799616
353,brữ,grave-abandoning ceremony,12.42552,6.760035
354,"brữ, apo brữ",to have dream indicating bad luck,7.439362,6.5812626
355,bu ,who?,10.872004,6.2116885
356,bud,"friend, neighbor",11.003584,6.1128807
357,"buk, khăn buk","Vietnamese, Western-type blanket",8.599003,10.178754
358,"bul, 'bok bul",scarecrow,6.575438,4.9014072
359,bung-bang,type of shrub ,8.98269,12.079155
360,bữk,of trees to be rotten,8.859906,12.224597
361,bŭl,clearing,8.098192,10.659325
362,bŭng,type of basket,10.908129,15.462199
363,"bŭng, gŏ bŭng",large kettle,6.6943774,10.961501
364,"bŭt, săng bŭt",chopping knife,9.782874,9.196249
365,bưh,alright,10.052565,6.8150086
366,bưh bưh,continually,7.9879837,2.6534925
367,"""ba","unhusked rice, rice at any stage in the fields",10.540923,14.942172
368,"""bai",variety of guava,9.882758,13.118761
369,"""bai",lesson,9.108376,6.280862
370,"""bak",white in reference to skin,11.107075,11.442903
371,"""bao",bag,10.420796,8.083961
372,"""bap",to indicate way mouth opens and closes,7.3655057,9.189862
373,"""bar",two,10.630466,5.4712977
374,"""bă",father ,12.369288,7.4824843
375,"""băk",to put on over the head,10.439789,8.89123
376,"""băng",sorcerize,9.135243,6.2605124
377,"""băt",salty,6.0481367,9.723516
378,"""beh",tame,9.772686,6.623345
379,"""bet","stab, pierce",9.811047,9.634153
380,"""bĕng",bread,10.138379,7.3834352
381,"""bĕng ""bŏng","to play cards, gamble",9.04607,6.63502
382,"""bĕnh",full ,10.163927,4.706924
383,"""bĕnh-""bang",very full,10.176033,4.719289
384,"""bǐch",to lie down,8.520253,3.9906313
385,"""bih",snake,10.592268,11.486366
386,"""bih, 'bis, 'bih",expression used to drive out goats,11.248817,8.822557
387,"""biơu",smooth,9.583742,10.273473
388,"""biỡ","a little, a bit, sometimes used as a comparative ",10.555211,5.112922
389,"""blang, ‘long ""blang",kapok,10.481062,7.000978
390,"""blă",to indicate the releasing of one's grip,8.822268,9.3761635
391,"""blaǐ-""blaǐ",don't dare,6.949614,4.892398
392,"""blek-'blek",to designate movement of a shiny object ,8.991503,9.696356
393,"""blep",correct right,9.789433,6.447384
394,"""blêr",to open eyes from sleep ,6.253431,7.8515244
395,"""blop","to fit, cover exactly",10.159425,9.157293
396,"""blop-'blop",to lie,8.523065,3.9984114
397,"""bo","no more, enough",10.445475,4.5184
398,"""bo-""bang","plenty, enough",10.492223,4.533211
399,"""boh",salt ,6.033056,9.725672
400,"""boi","follow footprints, repeat after, copy written material ",10.809338,9.457628
401,"""bok","grandfather, sir, Mr.",12.373212,7.4831705
402,"""bot","to put arm in hole, to put on bracelet ",9.765564,8.581185
403,bŏ,cheek,9.899834,8.103297
404,‘long 'bơ,a harrow,9.5180235,7.097376
405,‘bơ'băp 'bơ'băp,chattering of teeth,6.367511,9.087329
406,"""bơ'bel ",to keep on doing ,8.613321,4.9888883
407,"""bơ""blŏ-""bơ""blônh-mônh",to have no desire to do,8.012749,6.3567905
408,"""bơ""brŏng",to designate an empty house,9.79574,5.1118226
409,"""bơch",to forget and do something though dangerous,8.801995,6.020874
410,‘bơh,megaphone ,10.253324,7.0090666
411,"""bơm",to hit target,9.5026,9.680711
412,‘bỡr,mouth,7.3797426,9.241755
413,‘bỡt,"to fix dislocated limbs or knives, etc.",9.642755,9.14284
414,‘bỡt,place,8.964769,4.8958244
415,"""brăl-""brăl",to designate noise and action of easily breaking stick,13.00629,11.503767
416,‘bre,to designate small object that is very red ,11.002346,10.58358
417,"""brĕ-""bră",describes water coming out of many places in a mountain,7.2730346,10.404379
418,‘brĕng,"to hear clear and well, to suddenly hear ",13.295513,11.09845
419,"""brĕng-""brĕnh",to designate the action and appearance of fumes,10.156659,7.012878
420,"""brĕt-""brĕt",gradually,7.888116,7.9958577
421,‘bri,ruddy complexion ,11.087373,11.462457
422,"""brīu",ruddy complexion or red and shiny wood,11.138203,11.473695
423,‘bro,hoarse,13.100889,11.467794
424,"""broih",of fish not to be sticky,9.500055,10.269731
425,"""brôih",brush,8.199093,10.692349
426,"""brông", to describe many that are all red,11.009731,10.587009
427,"""brơn","to treat impolitely, be discourteous or mean",7.521682,4.7303805
428,"""brơu",the long good leaf of tobacco,9.40351,12.218836
429,"""brỡk",to feel sorry for,9.731322,6.3841915
430,"""brỡm","arrow, bullets, quills of porcupine",11.884442,8.789991
431,"""bruih","dust, rubbish ",8.720425,10.796055
432,"""brŭng",ripe-colored rice,10.540561,14.9097595
433,"""brưch","to designate rays of dawning sun, coming up of full moon",10.765116,7.1977563
434,"""bui",dust,8.759019,10.764433
435,"""buih","yeast, a substance put in rice wine ",10.564578,14.677348
436,"""bum ",tuber,9.867716,14.486629
437,"""bŭ",to bury,12.512393,6.7022686
438,"""bŭng",small metal pitcher-shaped pot ,6.688427,10.959664
439,"""bŭng",a type of guava which is red inside when ripe,9.907069,13.11124
440,"""bưk-""bưk",to talk big,10.517215,9.333907
441,cha-chah,imitation of early speech of baby ,12.078368,7.6928887
442,chai ,"inflammable tree pitch, plastic, glass",8.74151,11.868308
443,chak,white-tailed,11.220772,11.38374
444,cham ,yard around house ,9.182302,11.490038
445,chang ,"wait for, expect",6.834018,6.4728584
446,chang-lă,type of grass with stickers,9.111398,11.732395
447,chap ,sparrow-like bird,12.623797,9.678796
448,char ,type of wild cat ,11.542353,10.062531
449,char ,"country, district ",10.210715,7.237348
450,char ,flesh burn from being too near fire all the time ,6.0294285,10.661727
451,chi,to look for ,9.020065,7.528426
452,chăl,"part, chapter",9.887997,7.040537
453,chăl,to chop wood of small diameter ,8.749999,11.807948
454,chăr,"to split bamboo into small pieces, to make cord ",9.475239,14.644474
455,chăt ,to sprout,9.691885,7.4015474
456,che ,cloth,8.346539,10.3536625
457,"che, hla che dak che",tea,10.068836,7.7197776
458,cheh,to hatch,10.368827,7.5712976
459,cheh-reh,termite,10.584192,7.445496
460,chek,of animals to have many offspring,12.2223015,8.001218
461,chem-chom,"a trap, a place hard to get out of ",8.377101,13.1354065
462,cheng ,"to lean, to go to the side",8.637565,8.404269
463,chep-chep,cheep cheep,10.3000555,7.5799327
464,chĕng,"to divide into parts, partition",7.609041,12.18639
465,chĕp,to hold in hand,8.868517,9.320155
466,chêng,large gongs,13.759247,10.025221
467,chêng kông,a large type of gong,13.764059,10.03016
468,chêng kơklêng,to describe the rolling of something circular like a gong,10.721765,10.020725
469,chhăl, to accuse ,8.274273,3.8412619
470,chhĕk-chhŏk,unpeaceful,10.1967125,6.4625926
471,chhing,a shelter from wind and rain,7.839697,10.229891
472,chho,to clean or shine by rubbing,8.106454,10.699673
473,"chhŏng, chhŏng ka",to dip for fish,8.910204,13.365659
474,chhŏnh,to tease in a bad way,7.539806,5.249372
475,chhŏr,to be satisfied,8.106033,6.1604357
476,chhơp,"happy, relieved because a bad situation turns out good",7.759632,5.7499833
477,chhỡ,"to draw, write",9.611987,6.858939
478,chhuī,noise of propeller-like apparatus hitting water ,13.050213,11.491546
479,chi ,lead (graphite),10.459523,7.874475
480,long chih chi ,pencil ,10.45132,8.007721
481,chih ,to write,9.545645,6.6856556
482,chin-jǐ chin,leprosy (Hansen's disease),9.752452,7.1671515
483,chǐng ,small gongs,13.753005,10.023928
484,chǐng chêng,set of small and large gongs,13.754088,10.023973
485,chǐng klŏng,bamboo xylophone ,9.470341,14.638431
486,chǐt ,to plug a hole,9.150523,10.371218
487,chǐu,to agree go along with accept,8.8600025,5.823764
488,chok,"to part hair, clear path, make groove in crossbow",11.99064,8.77038
489,chok,"punch with fist, box",9.100231,9.342089
490,choh,"to hoe, plow, of fish to bite ",10.086234,11.188838
491,chong,to cut grass,9.0474415,11.70821
492,chong-wong,pickaxe,10.603122,7.5272393
493,chop,to sneak up on,8.306281,7.2939534
494,chor,lines on palm of hand,8.927956,9.264327
495,chor,to dig ditch,9.389055,10.519689
496,"chŏu, châu",to claw,9.696775,10.945518
497,chôn,greedy,8.79244,6.634526
498,chông,"to lead, people only",11.058974,6.0091524
499,chỗ,to tie,10.307018,10.083958
500,chơbǐ,woven bag,10.448197,8.185233
501,chơchan,in weaving -- putting wooden instruments into the material being woven,10.319773,10.650702
502,chơchoh,to pound or chop meat to type,7.1092443,11.182763
503,chơchrĕng,"to hear many people talking, to hear heavy noise",13.228993,11.166402
504,chơchrỡ,to designate water running as blood,7.5028625,10.221847
505,chơdong,type of poisonous snake with black and white stripes,10.582429,11.511858
506,chơdŏ,nose horn of rhinoceros,11.105458,8.601971
507,chơduh,instrument used in weaving placed on one's back for thread,10.340314,10.679661
508,chơđŏk,bad-tempered,11.470135,6.4731336
509,chơgăm,to be eager,7.5257926,6.5624
510,chơgăn,anything that is used to make one room private,9.993214,7.2443786
511,chơgĕt,even so,16.452715,10.279244
512,chơgơu,bear (animal),11.579425,10.051055
513,chogro,method of tying something up,10.319404,10.066696
514,chơgrô,all tied up and unable to move,10.222116,9.863206
515,chơhnen,to laugh quietly,7.547615,5.430722
516,chơnnŏk,water dipper,7.38629,10.33824
