Keys,Definitions
băl,"each other, reciprocal "
blah băl,fight each other 
"băn, tơpỗ băn",very good friend apparently with special bond or contract 
băt,to know
bek,fat 
ben,"craw, crop of birds"
beng,to shove
bĕ,"imperative, often has the idea of including speaker in action of the verb"
bĕl tơbĕl,designates something small
bĕng,to carry as in holster
"bia, prit bia",long green type bananas
biao,"completely gone, nothing there "
biĕm,second person dual
biĕng,to express feelings with eyes
bioh,"to hit with fist, box"
biôi,lime
biônh,type of smile
biông,large basket used for measuring rice
bip,duck
bǐ,"and (you), how about (you)"
bī,negative 
bih,poison
bla,kidneys
"blach, plei blach",Adam's apple 
blah,to split
blah,to fight 
blah ,"classifier for clothes, blankets"
blai,to overflow
blang,"to open fist, unfold cloth"
blang,to split
blăn,marks on skin as toothmarks
blei,to curse name of other person's parents
blip,to keep coming though you try to stop
 blip,dark all over as about to rain 
blo ,a fruit with several edible outer layers
"blo, blo tơblo",to designate person with puffed cheek because of food inside
blok,to turn head
blŏng,handle of axe
bloih,to shoot at something nearby and miss
blŏng-blĕnh,of a log to turn
blôk,of water to boil up
biôm,edible part of jackfruit
"blông, roi blông",person covering up with words his real feelings
blông,gallop
blôt,of wood bamboo to be still green though cut already
blơch,"describes food that is oily and smooth as peanut butter, pounded squash seeds"
blỡ,"to turn over of own accord as car, waves; to turn pages"
blỡ blĕch,"to be changeable, not keeping one's word"
blu,"upper leg, thigh"
bluh,to sprout out of the ground
blũk blũk,the bubbling up of water from someone drowning or ghost
blũng,to penetrate
blũt,to feel angry inside
blư,to describe sudden arrival of someone
blư-bla,sudden arrival of many people
"bo, 'ba bo",rice grain with no kernel
"boih, bơih",already
bong ,casket 
bop ,"to be thin-looking with age as man, bamboo "
bot,"clean, beautiful--house,clothes"
bŏ,mumps
bŏk,"to hollow out, make hole in wood large or small"
bŏk ak,"armpit, underarm"
"bŏl, bŏl",island
"bŏng, nhŭng bŏng","boar, male pig"
"bâu, bŏu roi ",to talk about behind one's back
"bô, sem bô",owl
bôǐ,small jar
"bôk, prit bôk-prit Yuăn","short fat yellow bananas also known as ""Vietnamese bananas"""
bôk,greyish white
bôl,"friend, companion, peer"
"bôm, 'bih bôm",poisonous green snake
bôn kơne,upper arm muscles
bơ,small black fish
bơ-,prefix used to imitate stuttering
"bơang, bơuh-bơang",to perspire profusely
"bơbah, gah bơbah","toward the mouth of the river, south"
bơde,goat
bơbŏk,to take out with hands to eat
bơbŏng,the neck of a gourd (water container) or bottle
bơbông,to designate appearance of a large hole
bơbỡ,to prepare meat for cooking
bơbỡt-bơbăt,to hit long and hard or to work a long time
bơbrǐl,the feeling one gets on his bare feet when walking over pebbly ground
bơbrŏk,of conversation to go back and forth
bơbrŏng,to designate an empty house
bơbrơng,to designate a smelly mess with flies all over it
bơbrỡk-bơbrăk,to designate many people talking continually
bơbul,"not able to see much, almost blind"
bơbul,rounded jar
bơbŭng,"roof, also a classifier for house"
bơhleng,of a woman to have a continual desire to eat
"bơhlik, pơma bơhlik",to tell over and over even though a person has heard
bơhlik-bơhlak,destruction
bơhngir,body odor
bơhur,to be very hot at night
bơla ,elephant
bơlah,rice cooked in banana leaves or bamboo sections and boiled
bơlang,bird with white standing feathers on head
"bơlang, brai bơlang",white thread
bơlao,day before yesterday or most a few days ago
bơlăm,of children to talk to themselves
"bơle, che bơle","to scorn, make fun of"
"bơling, sem bơling",bird
bơlŏ,fever
"bơlŏu, hla bơlŏu",the leaf part used in betel nut mixture
bơlôh,hole in wall as rat hole
bơlơh,"to take over for, to exchange things or positions, relieve "
bơlỡk,aluminum
bơlũ,to mix different things together
bơluỡl,"to mumble, not able to talk"
bolũk,to overeat or drink
bơmĕng gŏ,kettle black
bơnông,ceremony for someone who has died away from home and body not returned
"bơmŏu, bơnâu",mushroom
bơmỡt,west
bơmreh,dead branch with no leaves
bơmuih,field made in woods
"bơnă, bơngai bơnă",captive
bơneh,"word used to describe intensive activity, not sure whether body part or intensive only"
bơnei,waist
bơnĕcg,tree stump cut on angle
bơnê,"to thank, be grateful "
bơnŏ,to be weak
bơnỡng,"lid, cover"
bonỡt,dam
bơnũng,young bamboo
bơng,"the stomach of a cow, carabao"
bơng,hollow tree trough made from cut log
"bơnga, klăn bơnga",the long variety of python
bơngai,"person, people "
kon bơngai,mankind
bơngoi,"sad, crestfallen"
"bơnhă, đak bơnhă",type of spring
bơnhuăl,type of anteater
bonhŭl,toadstool 
bơŏ,"description of fat-cheeked, fat-bellied child"
bơôr,bloated
bơỗ,"similar to bơŏ but describing an adult, bloated as in death"
bơring,to lead a sick person
bơrơng,"to watch, take care of children or animals"
bơsa,instrument used to keep thread close together in weaving
"bơsat, pơsat","tomb, cemetery, grave"
bơsŭn,"hut, shelter"
bơuh,to perspire
bơwang,to encircle
bơwĕnh,cowlick
bơwīnh-bơwīnh,move around in place
bơya hong,crocodile
bơyong,to sing mimicking one another
boyỡng,to go for a walk usually used as euphemism for going to the bathroom
bỡ,"to work, build to work"
bỡl,dull (knife)
bỡn,1st person plural inclusive 
bỡn,pluralizer usually used when more than one type of is being
bỡng,to cover pot with leaves and tie around 
bỡt,to make a dam
brai,thread
bram,beard of billy goat
bơbe bram,billy goat
brang,plant used to make rope
brăm,not the best but okay
"brăng, kŏ brăng",millipede
bre,dualizer for 3rd person
bre sư,those two
bre,term designating many people only used in vocative
brĕ,"carefully, well "
"brĕch, 'ba brĕch",wild rice
brei,yesterday
brĕl,"small, round objects like peanuts"
brĕng,type of tree--very large
brĕnh,color combination of having small spots of black and white
brĕng,rust
bri,woods
brih,to pass by 
brǐng ,"evil, bad"
bro,area of land beside field not yet cultivated
broch,to harvest rice by stripping grains from plant
broi,regular hard rice 
brong,type of basket carried on back
brỡk,return
"brôn, tung brôn",to be in prime of life
brôn,itchiness from riding wet animal
brônh,color combination such as that of a tiger 
brỡ-brỡ,of money to be spent easily
brỡng ,basket with decorative layer
bru-bra,to designate many small things coming out from a hole
brua,"to indicate the way rice, people come out of somewhere"
bruơ,intensification of brua
bruang,to indicate a large house
bruỡng,"to indicate very large house, intensification of bruang"
"bruh, brit","dirty, uncouth"
brui,corn hair
brunh,color combination like gray
brŭl,mountain goat
brữ,grave-abandoning ceremony
"brữ, apo brữ",to have dream indicating bad luck
bu ,who?
bud,"friend, neighbor"
"buk, khăn buk","Vietnamese, Western-type blanket"
"bul, 'bok bul",scarecrow
bung-bang,type of shrub 
bữk,of trees to be rotten
bŭl,clearing
bŭng,type of basket
"bŭng, gŏ bŭng",large kettle
"bŭt, săng bŭt",chopping knife
bưh,alright
bưh bưh,continually
"""ba","unhusked rice, rice at any stage in the fields"
"""bai",variety of guava
"""bai",lesson
"""bak",white in reference to skin
"""bao",bag
"""bap",to indicate way mouth opens and closes
"""bar",two
"""bă",father 
"""băk",to put on over the head
"""băng",sorcerize
"""băt",salty
"""beh",tame
"""bet","stab, pierce"
"""bĕng",bread
"""bĕng ""bŏng","to play cards, gamble"
"""bĕnh",full 
"""bĕnh-""bang",very full
"""bǐch",to lie down
"""bih",snake
"""bih, 'bis, 'bih",expression used to drive out goats
"""biơu",smooth
"""biỡ","a little, a bit, sometimes used as a comparative "
"""blang, ‘long ""blang",kapok
"""blă",to indicate the releasing of one's grip
"""blaǐ-""blaǐ",don't dare
"""blek-'blek",to designate movement of a shiny object 
"""blep",correct right
"""blêr",to open eyes from sleep 
"""blop","to fit, cover exactly"
"""blop-'blop",to lie
"""bo","no more, enough"
"""bo-""bang","plenty, enough"
"""boh",salt 
"""boi","follow footprints, repeat after, copy written material "
"""bok","grandfather, sir, Mr."
"""bot","to put arm in hole, to put on bracelet "
bŏ,cheek
‘long 'bơ,a harrow
‘bơ'băp 'bơ'băp,chattering of teeth
"""bơ'bel ",to keep on doing 
"""bơ""blŏ-""bơ""blônh-mônh",to have no desire to do
"""bơ""brŏng",to designate an empty house
"""bơch",to forget and do something though dangerous
‘bơh,megaphone 
"""bơm",to hit target
‘bỡr,mouth
‘bỡt,"to fix dislocated limbs or knives, etc."
‘bỡt,place
"""brăl-""brăl",to designate noise and action of easily breaking stick
‘bre,to designate small object that is very red 
"""brĕ-""bră",describes water coming out of many places in a mountain
‘brĕng,"to hear clear and well, to suddenly hear "
"""brĕng-""brĕnh",to designate the action and appearance of fumes
"""brĕt-""brĕt",gradually
‘bri,ruddy complexion 
"""brīu",ruddy complexion or red and shiny wood
‘bro,hoarse
"""broih",of fish not to be sticky
"""brôih",brush
"""brông", to describe many that are all red
"""brơn","to treat impolitely, be discourteous or mean"
"""brơu",the long good leaf of tobacco
"""brỡk",to feel sorry for
"""brỡm","arrow, bullets, quills of porcupine"
"""bruih","dust, rubbish "
"""brŭng",ripe-colored rice
"""brưch","to designate rays of dawning sun, coming up of full moon"
"""bui",dust
"""buih","yeast, a substance put in rice wine "
"""bum ",tuber
"""bŭ",to bury
"""bŭng",small metal pitcher-shaped pot 
"""bŭng",a type of guava which is red inside when ripe
"""bưk-""bưk",to talk big
cha-chah,imitation of early speech of baby 
chai ,"inflammable tree pitch, plastic, glass"
chak,white-tailed
cham ,yard around house 
chang ,"wait for, expect"
chang-lă,type of grass with stickers
chap ,sparrow-like bird
char ,type of wild cat 
char ,"country, district "
char ,flesh burn from being too near fire all the time 
chi,to look for 
chăl,"part, chapter"
chăl,to chop wood of small diameter 
chăr,"to split bamboo into small pieces, to make cord "
chăt ,to sprout
che ,cloth
"che, hla che dak che",tea
cheh,to hatch
cheh-reh,termite
chek,of animals to have many offspring
chem-chom,"a trap, a place hard to get out of "
cheng ,"to lean, to go to the side"
chep-chep,cheep cheep
chĕng,"to divide into parts, partition"
chĕp,to hold in hand
chêng,large gongs
chêng kông,a large type of gong
chêng kơklêng,to describe the rolling of something circular like a gong
chhăl, to accuse 
chhĕk-chhŏk,unpeaceful
chhing,a shelter from wind and rain
chho,to clean or shine by rubbing
"chhŏng, chhŏng ka",to dip for fish
chhŏnh,to tease in a bad way
chhŏr,to be satisfied
chhơp,"happy, relieved because a bad situation turns out good"
chhỡ,"to draw, write"
chhuī,noise of propeller-like apparatus hitting water 
chi ,lead (graphite)
long chih chi ,pencil 
chih ,to write
chin-jǐ chin,leprosy (Hansen's disease)
chǐng ,small gongs
chǐng chêng,set of small and large gongs
chǐng klŏng,bamboo xylophone 
chǐt ,to plug a hole
chǐu,to agree go along with accept
chok,"to part hair, clear path, make groove in crossbow"
chok,"punch with fist, box"
choh,"to hoe, plow, of fish to bite "
chong,to cut grass
chong-wong,pickaxe
chop,to sneak up on
chor,lines on palm of hand
chor,to dig ditch
"chŏu, châu",to claw
chôn,greedy
chông,"to lead, people only"
chỗ,to tie
chơbǐ,woven bag
chơchan,in weaving -- putting wooden instruments into the material being woven
chơchoh,to pound or chop meat to type
chơchrĕng,"to hear many people talking, to hear heavy noise"
chơchrỡ,to designate water running as blood
chơdong,type of poisonous snake with black and white stripes
chơdŏ,nose horn of rhinoceros
chơduh,instrument used in weaving placed on one's back for thread
chơđŏk,bad-tempered
chơgăm,to be eager
chơgăn,anything that is used to make one room private
chơgĕt,even so
chơgơu,bear (animal)
chogro,method of tying something up
chơgrô,all tied up and unable to move
chơhnen,to laugh quietly
chơnnŏk,water dipper
chơkang,to give rice wine
chơkăl,to bar door fasten securely
chơkeh,to throw up and hit one stick with another
chơkhŏ,shoes
chơkle,to describe feeling of a sudden surprise
choklêng,to describe flat-surfaced object
chơlă,to peel sugarcane
chơmŏk,to be always successful in fishing
chơ'mal,monkey-faced expression
chơ'mêu,cruel-looking face of tiger
chơ'mon,to squeeze rice into a ball to eat
chơ'moh,place in stream where water divides
chơ'mŏk,funnel
cho'môk,to describe something large curled up in a sitting position
chơ'mônh,cat curled up to rest 
chơ'mrunh,description of a frog sitting
chơnăt,new leaves
chơnĕng,walls of a house
chơnok,groove on crossbow in which arrow sets
chơng,"to lead by hand, of hen to lead and give food to chicks"
chơng-rơng,trellis
chơnglai,hem
chơpĕt,to squeeze fruit
chơprê-chơpra,description of many finger-like projections
chơt,like projections
chơwêu,poised to charge
chơwong,to describe goose-neck appearance of anything
chơwơ-chơwơ,to walk or be slow in actions because sick
chỡn,"fearless, able to control"
chỡng,"to cut in two -- bones, wood, meat"
chỡp,to fold
chraih,to stir to get dry e.g. rice
chrang,high-pitched
chrao,medium-sized bird that sometimes lives in people's houses
chrăng,metal belt
chre,to cut off branches of tree
chrek,"to cut with knife -- cloth, kerosene can"
chrĕm,expression to describe something cold
chrĕng,loud noise
chrêu,strange
chrih,"strange, out of ordinary"
chro,to reach out hand
"chro, plĕnh chro",rainbow
"chrôh, chruơh",a type of fish
chrơng,to hoist up
chrŭp,to designate the way an object falls into water 
chu,to obey
chu-chang,to leave behind
chuai,cowlick of horse or cow
chuă,grab
chuĕch,to grab quickly
chuŏk,"to knit, tie"
chuŏng,small bell
chuơh,sand 
chuỡng,to cut clean off in one blow
chuỡr,jump over
chur,"brave, courageous"
"chŭ, jǐ chŭ",smallpox
chữ-chă,house lizard
chŭk,the white lower of some animals
chŭk-lŭk,to describe someone falling to ground or in water
chŭm,to kiss
chŭn,garden in fields or woods
chŭr,noise of nighthawk
chư,word letter
chưk,of pig to root around in dirt
dah,"to hurry, to do"
"dah, hơdah",or 
dah ,if 
dam,"bridle, halter "
dan ,to place as to place a target 
dang,"like, as"
dang đêl,same as usual
dang aī,same in size
dang ei,now 
dao ,small sword 
dă,better 
dă dah,that's okay 
dăm,"male carabao, bull"
dăm,son
dăm brang,lion
dăng,classifier for hair string and similar objects 
dăng,"to put up wire, line, rope "
wai dăng,spider web
dăr,"to go around, spin around "
deh,mild imperative attention-getter
deng,"to bewitch, sorcerize "
bơngai deng,witch (runs in family)
der,type of small bird 
dĕl-dŏl,the swinging of something in the wind 
dĕng ,the little finger
dêh,"country, area "
dêh,very intensive
dêng-dễ,"to toddle, waddle"
dêt-bơngai dêt,easily angered person
dih,own self
dih,literally body of self but is used as substitute for 2nd person singular (it is polite and intimate)
dim ,gentle kind 
dǐk-dǐr,name of a very soft dark mushroom that grows on dead logs
doch,to suck through tube (restricted to wine and water)
"don, 'bum don ",camote 
dong ,to hit hard and long 
dor ,oval-shaped head 
dŏng,"to help, save, rescue "
dŏng,"to put, place "
"duŏ, dâu-dak dŏu",kerosene
dôi,clay bowl
dôm,"how many, that many, all of those "
dôm ai ,equal in number
dônh,"to gather up, pick up "
"dông, long dông",leaning tree 
dỗ,to divide up
dơdĕng,eager
dơdơng,to designate any long shaped object hanging down 
dơhlĕo,a drill 
dơhlông,door track to fasten or slide wood into 
dơhơr,to encourage 
yak dơhơr ,go together to have company
dơhuơng,tall and handsome
dơlễ,snail
dơliêl,to describe long-tounged scary-faced individual 
dơmanh,three days after today
dơmŏng,"precious stones, jewels"
dơmônh,day after tomorrow
dơnan,target
dơning,tomorrow
dơning dơmônh,the next few days or weeks the future 
dơnŏu,lake pond 
dơnỡng,"one sitting, stay in one place"
dơnỡr,grave mound or tombstone
dơnuh,poor
"dơnuh, pơma dơnuh",to converse
dơng,branch
dongôk,decribes looks of a tall person 
dơngôk-dơngak-mak,many tall people 
dơngỡl,tree stump
dơrỡ,pig swill
dơsen,stingy
"dơsǐ, đak dơsǐ","sea, ocean"
dơsoh,lungs
dơsor,"to agree with, be friends"
dơt,of chickens to lay here and there
"dơwing, duing kơuỡng",large village
doyĕn,squash-like vegetable insides can be used as brush or sponge 
dơyuăn,type of large jar having great value 
dỡng,"to stand, stop "
dỡng,"again, else, more "
drang ,to warm oneself in sun
drap,to prostrate oneself
drap kơmrap-kơmrônh-mônh,many people prostrating themselves 
"dră-kăn, drŏ-kăn","woman, women "
dreng ,yellow 
drong,to stop off at 
drŏ-nglo,"man, men"
"drŏu, drâu",today
"drŏu, drâu",six
drôih,to go early in the morning
"drô, minh drô",alone
drơn,floor
drỡng,answer 
druei,"to have had enough, be sick of "
druh,"to follow, chase, pursue, drum "
drum,of animals to lay down
drŭt,to push 
drưt,yellow edible food
"du, hla du",umbrella
du-da,whatever
duch,"an aunt who is younger than father or mother, honorific term for women same age or younger than speaker"
duh,"to pay fine, give back, make restitution, pay rent "
dui,to pull
duk,ship
dul-dêl,to designate rocking of something being carried 
dung,sound of gun boom
duỡt,to designate large village
"dur, pơma dur","low deep voice, speak in a low voice"
dur,wall around village fort
dŭk,sound of something hitting ground
dŭk dỡk,intensive of
"dŭk, hră dŭk",type of crossbow used by children that is simpler in form like Western bow
dŭng,sound of drum 
dŭt,of water to push wood 
dư,gluttony in eating or drinking
đah,to sprout
đah,to leap
đak,water
đal,shallow container
đam,to always hit the target 
đam,servant 
đang,to be finished 
đao,large sword
đăk,to set a trap
đăm,simple form of five
đe,3rd person indefinite someone people
đei,"to have, there are "
đep,to be obedient 
đĕ-đŏ,a hard-shelled bug that lives in the water
đĕch,only 
đêl,footprints
đêl,"as before, that which was done before "
đih,"to go greet, welcome "
đik,strong
đing,bamboo tube
đit,very mean 
đit-đit,to breathe fast
đīch,indentured servant
đī,"all, no more"
đi-đăng,emphatic of đī
đoh,to put on earrings 
đom,"to stick to, be fastened to "
đon,"ear, mind "
đot-đot,to describe the waving of a bird's tail up and down
đŏk,monkey 
đŏl,"to jack up, lift up by putting something in under; pain or ache from objects pressing against body "
đŏng,"very bent, crooked"
"đô, 'bum đô",peanuts
đôn,to explode
đông,to float
đôr,easy 
đôr,a more complex weave than regular weave
đôt,of a hen tail to curve down or be without tail
đỗ,to make someone make restitution in addition to the thing stolen
đơđũk,"to describe the noise of guns going off, of many cars, of heart beating fast"
đơđũk-đơđăk,intensive of đơđũk
"đơl, abĕn đơl",short skirt
đơng,shallow
đơng,sugar 
đỡk,bran
đỡm,to remain drunk for a long time
đỡng,from
đỡp,to cover with lid
đỡr,"to stamp on, push with feet"
đuăn,conical hat
đuh,to be pussy 
đak đuh,pus
đum,ripe
đunh,long time
đunh-đang,emphatic of đunh
đunh-đơn,emphatic of đunh
đuơng-đuang,many people gathered around 
đŭl,the kick of a gun
đŭt,of a basket to be broken
e,2nd person singular familiar
ei,there that usually to something not in sight but something that has been mentioned
et,"to suck in, to drink, to smoke; in Kontum used for drinking water, in others only for drinking wine"
ĕch,plant that edible seed and leaves the seed pops
ĕch,particle
"ê, ưh kơ","unaware, unprepared "
êh, expression of disdain
ễ,final particle
ễ ễ ễ păk-kê,the sound of the gecko call
ga,to prevent
gah,"side, as for, in some cases, may be a paragraph marker"
gai,to invite each other to drink wine 
gan ,"not so much, not really"
ưh kơ gan,not quite
gao,coconut
gao,plant the seeds of which are used in making alcohol
gao,small airplane
gap ,to make a grass wall to fix a worn place in wall 
gar ,jealous 
gat ,to measure piece of land; to level off with stick; to make a mark; to ostracize
găm,black
găn,to prevent
găng,"to shiver, be afraid"
găr,"seed: classifier used for fish, for children "
găt ,"of baby not to cry, be contented "
ge ,wine jar (general term)
geh,see gah
gei,"strong, long lasting"
get ,gourd or bottle used to put water in
gĕr,see găr
gia,a tall grass used to make roofs
"gia, pơtih gia",for example
giang,to herd
giăm,"nearly finished, nearly"
giĕng,"taboo, prohibited"
năr giĕng,Sunday
măng giĕng,week
giot gơgiot,the hop of a rabbit 
giơng,bed 
giỡ,to ask for what is owed to one 
giỡ,to weave gia as in roof 
gǐl-gŭl,"to wiggle, wobble--a tooth, tree"
gǐt,"to be  valuable, precious, need"
glai,width of a river 
glaih,nearby thunder
glaǐ," wrong, mistaken, misfortune "
glang,chain
glăk glăk,to designate heavy laughing 
gle,type of vine from which fish poison is made 
gleh,"to be tired, worn out"
gleh-glan,intensive of gleh
glĕch,"to turn, to turn on, to twist "
glĕch-glŏch,to force one's head to the side
glip,to become dark gradually
glǐp,to become dark suddenly 
glơh,afternoon 
glơi,to swim 
glỡk,to drown 
glỡm,to make to fall down 
glung,river 
go,of a spring to lose its flexibility 
go kơdŭ,hunch back
goh,"clean, empty, all gone "
gop,to gather and give to someone
gŏ,"pot, kettle "
gŏ klăn,quicksand
gŏk,to wait 
gŏn-kơdŭ gŏn,hunchback
gŏp,ring-type earrings
"gŏu, gâu",back side of knife blade
gô,"wait, also used for future "
gông,trap that works by trigger which trap drops on animal
gôp,the decorations on top of a tomb
gogleh-goglǐn,to be very tired
"gơgỡl, kon gơgowxl",oldest child
gogrôk-gơgrak,"noise of river running, of stomach rolling, rumbling"
gơgŭ,"to shake, jerk"
gơgŭnh,"to waddle as a fat person, wiggle like a caterpillar"
gơh,to be able to
"gơhlŏu, gơhlâu","an imaginary object that lives  in trees, has good smell"
gohluỡk,to describe person's eyes that are not quite right in some way
gơhô,glutton
gơhơng,amber colored
gơhrĕt,"to pull, to tie well"
gơih,to send (letters only)
gơlang,gable
gơlăn,to describe a person with big eyes looking intently at something
gơlăr,type of cane used in building
gơlăr Bahnar Gơlăr,"the Bahnar who lives around the Kơdơ rice-growing 10 to 15 kilometers east of Pleiku 8-10,000 people"
gơling,to describe the banking of a plane
gơlon,to describe a person with small eyes looking intently at something 
gơlor-gơle,to stamp on in anger
gơlŏng,to clean by shaking water inside
gơlỡ,to push to do quickly
gơlỡp,to be buried already
golŭng-gơlăng,chasing one another not watching where going
golŭng-gơle,striding along
gơnam,to threaten
"gơnăl, kơnăl","to recognize, know"
gơnăp,"the binding, that which holds something together"
gơneng,bookcase or related objects
gơnêh-gơnêh gơnơm,"to depend on, trust in"
gơning,to lean on or against 
gơnơm,"to depend on, trust"
gơnỡ,to want to do something one can't
gơnuang,to make a circle of wire
gơnŭk, a large pile 
gơp,shelter underneath rock tree
hơgơp,cave 
gơsỡm-hla gơsỡm,an edible leaf (plant)
gơwang,type of expensive wine jar
gơwŏk,"to be hooked, pick with a hook"
 long gơwŏk,a hook
gơwôh, buck teeth 
gỡ,to break something made of wood metal glass
gỡng, measurer for small stick-like objects
gỡng ga,four-poled device to tie carabao to for sacrifice 
gỡ,handle 
gỡt," to brake, to prevent, control oneself "
"grach, yă grach",cricket
"grah, grah luăn 'năr",solar eclipse (grah is probably some animal eating the sun)
"grak, grak-kơgrak",the noise of a person snoring 
gram,"to keep house, body clean"
grang,a basket used to catch fish 
gră,"big seeds, big seed-shaped things"
grăt,"to be silent, a quiet person"
gre,vehicle
grĕng,eye teeth
grĕng-nĕng,small bell
grĕnh,to growl
grê,"leaning tree, house"
grik,sound of growl
gring,fierce noisy leap of the tiger at prey
groi,hill
grong,to beat gongs and march around something
grŏl,to roll
grôi,"mane of horse, pig"
groih-gogroih,noise of pulling something small on ground
grôih-gogrôih,noise of pulling something large on ground
"grôk, grôk",noise of stomach rumbling
grỡ,vulture
grỡ ă,a large vulture
grỡm,thunder from distance
gruih,to stand up quickly 
grŭn, to strain when carrying something on back
grŭp,group
gueo,"very dark, unable to understand"
"guêng, jỡng guêng",bowlegged 
gur ,split ends of hair
gŭi,edible yellow fruit that grows on vines that climb trees
gŭk,to pile up
gŭm,to help 
gŭt ,to bend
ha,to open mouth
ha ,"huh?, question particle"
hach,"to dissolve, melt, disintegrate "
hah ,huh?
hai,graduated shape
"hai, đak hai",saliva 
hal,"happy, thrilled"
han ,sharp edged
hang,sting from salt on cut
hang nuih,distressed
hang,"bank of river, sea"
hanh,to desire
hao ,"to climb, ride"
har,bitter
hă,huh? question particle
hăk,to vomit
hăl,"to be tired of, bored"
"hăm, hỡm",question marker preceding verb
hăm,"with, and "
hăp,3rd person singular (in some dialects it is the familiar form) 
hăt,"to be in a hurry, be busy at"
hăt-hot,emphatic of hăt 
he ,"expression used when handing something to someone, ""here"" "
hei ,any time during the day before the present moment 
hei hơhei,very much earlier
măng hei,last night
hek,to tear
hek-hok,emphatic form of hek 
hen ,to stand on tip-toes to pull in stomach
"hĕ, hĕ","words used to call cows, carabaos"
hêt-hêt,"to breathe heavily, to be out of breath "
hi,final particle marking emphasis
